County,Year,Value_inches,Anomaly
Charlotte County,2011,46.4,7.33
Charlotte County,2012,49.99,10.92
Charlotte County,2013,57.07,18
Charlotte County,2014,52.84,13.77
Charlotte County,2015,54.69,15.62
Charlotte County,2016,59.51,20.44
Charlotte County,2017,57.34,18.27
Charlotte County,2018,56.29,17.22
Charlotte County,2019,55.01,15.94
Citrus County,2020,56.88,17.81
Citrus County,2000,37.42,0
Citrus County,2001,50.45,13.03
Citrus County,2002,62.54,25.12
Citrus County,2003,61.85,24.43
Citrus County,2004,59.17,21.75
Citrus County,2005,54.18,16.76
Citrus County,2006,41.37,3.95
Citrus County,2007,50.04,12.62
Citrus County,2008,47.03,9.61
Citrus County,2009,49.31,11.89
Citrus County,2010,47.76,10.34
Citrus County,2011,48.13,10.71
Citrus County,2012,57.33,19.91
Citrus County,2013,48.71,11.29
Citrus County,2014,63.49,26.07
Citrus County,2015,48.54,11.12
Citrus County,2016,52.07,14.65
Citrus County,2017,50.72,13.3
Citrus County,2018,66.26,28.84
Citrus County,2019,55.2,17.78
Clay County,2020,48.84,11.42
Clay County,2000,39.18,0
Clay County,2001,48.83,9.65
Clay County,2002,53.68,14.5
Clay County,2003,53.47,14.29
Clay County,2004,58.79,19.61
Clay County,2005,55.76,16.58
Clay County,2006,36.15,-3.03
Clay County,2007,45.54,6.36
Clay County,2008,51.82,12.64
Clay County,2009,58.4,19.22
Clay County,2010,39.31,0.13
Clay County,2011,46.45,7.27
Clay County,2012,60.03,20.85
Clay County,2013,51.66,12.48
Clay County,2014,54.23,15.05
Clay County,2015,46.29,7.11
Clay County,2016,41.76,2.58
Clay County,2017,65.52,26.34
Clay County,2018,60.76,21.58
Clay County,2019,46.96,7.78
Collier County,2020,55.54,16.36
Collier County,2000,43.99,0
Collier County,2001,59.01,15.02
Collier County,2002,53.94,9.95
Collier County,2003,61.18,17.19
Collier County,2004,48.87,4.88
Collier County,2005,57.73,13.74
Collier County,2006,45.07,1.08
Collier County,2007,44.91,0.92
Collier County,2008,58.26,14.27
Collier County,2009,48.71,4.72
Collier County,2010,49.94,5.95
Collier County,2011,46.18,2.19
Collier County,2012,52.91,8.92
Collier County,2013,52.41,8.42
Collier County,2014,51.98,7.99
Collier County,2015,53.74,9.75
Collier County,2016,56.92,12.93
Collier County,2017,71.2,27.21
Collier County,2018,54.87,10.88
Collier County,2019,63.78,19.79
Columbia County,2020,56.83,12.84
Columbia County,2000,41.04,0
Columbia County,2001,43.34,2.3
Columbia County,2002,52.96,11.92
Columbia County,2003,59.32,18.28
Columbia County,2004,63.77,22.73
Columbia County,2005,57.94,16.9
Columbia County,2006,42.35,1.31
Columbia County,2007,40.34,-0.7
Columbia County,2008,49.94,8.9
Columbia County,2009,51.06,10.02
Columbia County,2010,45.45,4.41
Columbia County,2011,48.9,7.86
Columbia County,2012,64.13,23.09
Columbia County,2013,55.4,14.36
Columbia County,2014,66.34,25.3
Columbia County,2015,48.89,7.85
Columbia County,2016,48,6.96
Columbia County,2017,55.08,14.04
Columbia County,2018,58.65,17.61
Columbia County,2019,44.12,3.08
DeSoto County,2020,52.6,11.56
DeSoto County,2000,37.89,0
DeSoto County,2001,54.68,16.79
DeSoto County,2002,59.21,21.32
DeSoto County,2003,57.85,19.96
DeSoto County,2004,57.32,19.43
DeSoto County,2005,59.91,22.02
DeSoto County,2006,42.23,4.34
DeSoto County,2007,36.63,-1.26
DeSoto County,2008,50.96,13.07
DeSoto County,2009,45.52,7.63
DeSoto County,2010,54.08,16.19
DeSoto County,2011,47.46,9.57
DeSoto County,2012,51.96,14.07
DeSoto County,2013,57.76,19.87
DeSoto County,2014,54.09,16.2
DeSoto County,2015,57.72,19.83
DeSoto County,2016,58.48,20.59
DeSoto County,2017,59.5,21.61
DeSoto County,2018,57.06,19.17
DeSoto County,2019,51.46,13.57
Dixie County,2020,55.24,17.35
Dixie County,2000,46.06,0
Dixie County,2001,44.62,-1.44
Dixie County,2002,54.82,8.76
Dixie County,2003,52.37,6.31
Dixie County,2004,62.46,16.4
Dixie County,2005,61.17,15.11
Dixie County,2006,40.59,-5.47
Dixie County,2007,39.25,-6.81
Dixie County,2008,49.24,3.18
Dixie County,2009,56.36,10.3
Dixie County,2010,53.5,7.44
Dixie County,2011,43.16,-2.9
Dixie County,2012,66.67,20.61
Dixie County,2013,61.22,15.16
Dixie County,2014,65.56,19.5
Dixie County,2015,60.18,14.12
Dixie County,2016,60.94,14.88
Dixie County,2017,61.5,15.44
Dixie County,2018,81.05,34.99
Dixie County,2019,61.14,15.08
Duval County,2020,53.35,7.29
Duval County,2000,39.5,0
Duval County,2001,47.68,8.18
Duval County,2002,52.09,12.59
Duval County,2003,47.5,8
Duval County,2004,53.31,13.81
Duval County,2005,55.47,15.97
Duval County,2006,34.2,-5.3
Duval County,2007,44.11,4.61
Duval County,2008,51.72,12.22
Duval County,2009,58.76,19.26
Duval County,2010,32.25,-7.25
Duval County,2011,45.87,6.37
Duval County,2012,59.21,19.71
Duval County,2013,51.56,12.06
Duval County,2014,56.02,16.52
Duval County,2015,45.41,5.91
Duval County,2016,40.36,0.86
Duval County,2017,59.25,19.75
Duval County,2018,51.85,12.35
Duval County,2019,44.04,4.54
Escambia County,2020,55.16,15.66
Escambia County,2000,42.58,0
Escambia County,2001,51.27,8.69
Escambia County,2002,63.84,21.26
Escambia County,2003,69.71,27.13
Escambia County,2004,69.9,27.32
Escambia County,2005,71.47,28.89
Escambia County,2006,45.59,3.01
Escambia County,2007,53.95,11.37
Escambia County,2008,57.32,14.74
Escambia County,2009,79.39,36.81
Escambia County,2010,55.89,13.31
Escambia County,2011,43.26,0.68
Escambia County,2012,58.33,15.75
Escambia County,2013,63.32,20.74
Escambia County,2014,66.69,24.11
Escambia County,2015,66.45,23.87
Escambia County,2016,57.47,14.89
Escambia County,2017,81.89,39.31
Escambia County,2018,76.28,33.7
Escambia County,2019,50.54,7.96
Flagler County,2020,69.11,26.53
Flagler County,2000,42.22,0
Flagler County,2001,58.52,16.3
Flagler County,2002,55.72,13.5
Flagler County,2003,55.86,13.64
Flagler County,2004,59.11,16.89
Flagler County,2005,64.55,22.33
Flagler County,2006,32.89,-9.33
Flagler County,2007,50.06,7.84
Flagler County,2008,51.85,9.63
Flagler County,2009,52.31,10.09
Flagler County,2010,38.36,-3.86
Flagler County,2011,45.96,3.74
Flagler County,2012,49.02,6.8
Flagler County,2013,53.6,11.38
Flagler County,2014,60.81,18.59
Flagler County,2015,45.03,2.81
Flagler County,2016,44.06,1.84
Flagler County,2017,62.41,20.19
Flagler County,2018,63.98,21.76
Flagler County,2019,51.5,9.28
Franklin County,2020,53.02,10.8
Franklin County,2000,46.36,0
Franklin County,2001,52.71,6.35
Franklin County,2002,63.32,16.96
Franklin County,2003,68.15,21.79
Franklin County,2004,48.99,2.63
Franklin County,2005,58.09,11.73
Franklin County,2006,45.83,-0.53
Franklin County,2007,36.57,-9.79
Franklin County,2008,48.44,2.08
Franklin County,2009,63.13,16.77
Franklin County,2010,50.67,4.31
Franklin County,2011,39.97,-6.39
Franklin County,2012,56.58,10.22
Franklin County,2013,64.97,18.61
Franklin County,2014,61.67,15.31
Franklin County,2015,53.11,6.75
Franklin County,2016,52.4,6.04
Franklin County,2017,54.77,8.41
Franklin County,2018,64.79,18.43
Franklin County,2019,45.87,-0.49
Gadsden County,2020,60.04,13.68
Gadsden County,2000,43.64,0
Gadsden County,2001,53.35,9.71
Gadsden County,2002,55.27,11.63
Gadsden County,2003,52.75,9.11
Gadsden County,2004,54.84,11.2
Gadsden County,2005,68.19,24.55
Gadsden County,2006,42.18,-1.46
Gadsden County,2007,37.26,-6.38
Gadsden County,2008,61.62,17.98
Gadsden County,2009,51.77,8.13
Gadsden County,2010,44.81,1.17
Gadsden County,2011,36.66,-6.98
Gadsden County,2012,47.95,4.31
Gadsden County,2013,64.3,20.66
Gadsden County,2014,63.31,19.67
Gadsden County,2015,48.4,4.76
Gadsden County,2016,56.13,12.49
Gadsden County,2017,51.33,7.69
Gadsden County,2018,73.16,29.52
Gadsden County,2019,39.11,-4.53
Gilchrist County,2020,58.4,14.76
Gilchrist County,2000,44.77,0
Gilchrist County,2001,45.41,0.64
Gilchrist County,2002,55.35,10.58
Gilchrist County,2003,53.17,8.4
Gilchrist County,2004,64.08,19.31
Gilchrist County,2005,57.06,12.29
Gilchrist County,2006,37.96,-6.81
Gilchrist County,2007,38.52,-6.25
Gilchrist County,2008,45.69,0.92
Gilchrist County,2009,54.04,9.27
Gilchrist County,2010,50.26,5.49
Gilchrist County,2011,43.8,-0.97
Gilchrist County,2012,63.39,18.62
Gilchrist County,2013,58.45,13.68
Gilchrist County,2014,64.1,19.33
Gilchrist County,2015,56.16,11.39
Gilchrist County,2016,55.14,10.37
Gilchrist County,2017,60.15,15.38
Gilchrist County,2018,74.56,29.79
Gilchrist County,2019,58.04,13.27
Glades County,2020,51.95,7.18
Glades County,2000,32.75,0
Glades County,2001,54.28,21.53
Glades County,2002,56,23.25
Glades County,2003,49.52,16.77
Glades County,2004,50.67,17.92
Glades County,2005,55.82,23.07
Glades County,2006,39.34,6.59
Glades County,2007,37.36,4.61
Glades County,2008,58.01,25.26
Glades County,2009,48.16,15.41
Glades County,2010,50.23,17.48
Glades County,2011,46.06,13.31
Glades County,2012,50.7,17.95
Glades County,2013,53.71,20.96
Glades County,2014,51.63,18.88
Glades County,2015,51.47,18.72
Glades County,2016,57.17,24.42
Glades County,2017,52.69,19.94
Glades County,2018,45.35,12.6
Glades County,2019,52.1,19.35
Gulf County,2020,53.54,20.79
Gulf County,2000,42.95,0
Gulf County,2001,50.4,7.45
Gulf County,2002,62.18,19.23
Gulf County,2003,70.24,27.29
Gulf County,2004,50.72,7.77
Gulf County,2005,59.21,16.26
Gulf County,2006,45.97,3.02
Gulf County,2007,38.53,-4.42
Gulf County,2008,51.61,8.66
Gulf County,2009,65.43,22.48
Gulf County,2010,50.56,7.61
Gulf County,2011,42.27,-0.68
Gulf County,2012,55.06,12.11
Gulf County,2013,68.21,25.26
Gulf County,2014,64.4,21.45
Gulf County,2015,55.72,12.77
Gulf County,2016,56.16,13.21
Gulf County,2017,56.32,13.37
Gulf County,2018,65.6,22.65
Gulf County,2019,48.12,5.17
Hamilton County,2020,62.12,19.17
Hamilton County,2000,41.63,0
Hamilton County,2001,42.72,1.09
Hamilton County,2002,48.8,7.17
Hamilton County,2003,60.38,18.75
Hamilton County,2004,61.23,19.6
Hamilton County,2005,57.81,16.18
Hamilton County,2006,39.9,-1.73
Hamilton County,2007,40.22,-1.41
Hamilton County,2008,48.99,7.36
Hamilton County,2009,52.09,10.46
Hamilton County,2010,47.1,5.47
Hamilton County,2011,45.89,4.26
Hamilton County,2012,60.44,18.81
Hamilton County,2013,58.29,16.66
Hamilton County,2014,69.17,27.54
Hamilton County,2015,51.6,9.97
Hamilton County,2016,47.61,5.98
Hamilton County,2017,49.89,8.26
Hamilton County,2018,64.79,23.16
Hamilton County,2019,40.31,-1.32
Hardee County,2020,51.2,9.57
Hardee County,2000,34.52,0
Hardee County,2001,53.85,19.33
Hardee County,2002,60.87,26.35
Hardee County,2003,58.46,23.94
Hardee County,2004,57.55,23.03
Hardee County,2005,58.92,24.4
Hardee County,2006,42.19,7.67
Hardee County,2007,39.48,4.96
Hardee County,2008,49.63,15.11
Hardee County,2009,52.14,17.62
Hardee County,2010,53.86,19.34
Hardee County,2011,48.85,14.33
Hardee County,2012,51.6,17.08
Hardee County,2013,54.47,19.95
Hardee County,2014,56.38,21.86
Hardee County,2015,58.37,23.85
Hardee County,2016,55.32,20.8
Hardee County,2017,59.92,25.4
Hardee County,2018,55.85,21.33
Hardee County,2019,51.58,17.06
Hendry County,2020,51.65,17.13
Hendry County,2000,37.97,0
Hendry County,2001,56.86,18.89
Hendry County,2002,56.73,18.76
Hendry County,2003,50.41,12.44
Hendry County,2004,49.78,11.81
Hendry County,2005,59.74,21.77
Hendry County,2006,38.45,0.48
Hendry County,2007,39.64,1.67
Hendry County,2008,58.04,20.07
Hendry County,2009,51.27,13.3
Hendry County,2010,51.48,13.51
Hendry County,2011,47.38,9.41
Hendry County,2012,44.08,6.11
Hendry County,2013,49.38,11.41
Hendry County,2014,49.59,11.62
Hendry County,2015,54.15,16.18
Hendry County,2016,55.03,17.06
Hendry County,2017,53.87,15.9
Hendry County,2018,43.25,5.28
Hendry County,2019,54.75,16.78
Hernando County,2020,49.22,11.25
Hernando County,2000,37.93,0
Hernando County,2001,49.84,11.91
Hernando County,2002,62.06,24.13
Hernando County,2003,65.98,28.05
Hernando County,2004,59.68,21.75
Hernando County,2005,53.93,16
Hernando County,2006,41.94,4.01
Hernando County,2007,45.85,7.92
Hernando County,2008,44.56,6.63
Hernando County,2009,49.08,11.15
Hernando County,2010,44.85,6.92
Hernando County,2011,49.15,11.22
Hernando County,2012,59.86,21.93
Hernando County,2013,50.86,12.93
Hernando County,2014,64.21,26.28
Hernando County,2015,51.81,13.88
Hernando County,2016,50.63,12.7
Hernando County,2017,50.72,12.79
Hernando County,2018,63.12,25.19
Hernando County,2019,57.27,19.34
Highlands County,2020,49.12,11.19
Highlands County,2000,28.96,0
Highlands County,2001,54.21,25.25
Highlands County,2002,62.54,33.58
Highlands County,2003,53.56,24.6
Highlands County,2004,58.05,29.09
Highlands County,2005,57.44,28.48
Highlands County,2006,39.27,10.31
Highlands County,2007,38.19,9.23
Highlands County,2008,51.91,22.95
Highlands County,2009,42.31,13.35
Highlands County,2010,50.97,22.01
Highlands County,2011,42.75,13.79
Highlands County,2012,51.76,22.8
Highlands County,2013,57.03,28.07
Highlands County,2014,56.3,27.34
Highlands County,2015,57.12,28.16
Highlands County,2016,57.73,28.77
Highlands County,2017,55.74,26.78
Highlands County,2018,53.6,24.64
Highlands County,2019,49.56,20.6
Hillsborough County,2020,54.4,25.44
Hillsborough County,2000,37.18,0
Hillsborough County,2001,53.13,15.95
Hillsborough County,2002,61.95,24.77
Hillsborough County,2003,61.49,24.31
Hillsborough County,2004,65.11,27.93
Hillsborough County,2005,52.64,15.46
Hillsborough County,2006,45.02,7.84
Hillsborough County,2007,41.57,4.39
Hillsborough County,2008,46.69,9.51
Hillsborough County,2009,57.09,19.91
Hillsborough County,2010,47.69,10.51
Hillsborough County,2011,53.81,16.63
Hillsborough County,2012,55.39,18.21
Hillsborough County,2013,53.38,16.2
Hillsborough County,2014,58.91,21.73
Hillsborough County,2015,57.41,20.23
Hillsborough County,2016,56.94,19.76
Hillsborough County,2017,51.97,14.79
Hillsborough County,2018,61.8,24.62
Hillsborough County,2019,61.31,24.13
Holmes County,2020,53.33,16.15
Holmes County,2000,43.43,0
Holmes County,2001,50.2,6.77
Holmes County,2002,62.96,19.53
Holmes County,2003,67.01,23.58
Holmes County,2004,63.84,20.41
Holmes County,2005,60.22,16.79
Holmes County,2006,43.11,-0.32
Holmes County,2007,50.39,6.96
Holmes County,2008,58.8,15.37
Holmes County,2009,78.55,35.12
Holmes County,2010,46.35,2.92
Holmes County,2011,43.85,0.42
Holmes County,2012,59.01,15.58
Holmes County,2013,79.13,35.7
Holmes County,2014,65.18,21.75
Holmes County,2015,68.44,25.01
Holmes County,2016,58.86,15.43
Holmes County,2017,61.29,17.86
Holmes County,2018,76.26,32.83
Holmes County,2019,47.82,4.39
Indian River County,2020,71.71,28.28
Indian River County,2000,37,0
Indian River County,2001,51.99,14.99
Indian River County,2002,57.93,20.93
Indian River County,2003,52.96,15.96
Indian River County,2004,57.98,20.98
Indian River County,2005,58.27,21.27
Indian River County,2006,36.26,-0.74
Indian River County,2007,45.36,8.36
Indian River County,2008,58.83,21.83
Indian River County,2009,40.12,3.12
Indian River County,2010,40.18,3.18
Indian River County,2011,51.87,14.87
Indian River County,2012,46.97,9.97
Indian River County,2013,45.24,8.24
Indian River County,2014,51.32,14.32
Indian River County,2015,49.83,12.83
Indian River County,2016,61.53,24.53
Indian River County,2017,58.1,21.1
Indian River County,2018,43.48,6.48
Indian River County,2019,52.03,15.03
Jackson County,2020,64.5,27.5
Jackson County,2000,41.12,0
Jackson County,2001,49.53,8.41
Jackson County,2002,70.14,29.02
Jackson County,2003,54.58,13.46
Jackson County,2004,53.2,12.08
Jackson County,2005,61.05,19.93
Jackson County,2006,41.05,-0.07
Jackson County,2007,36.99,-4.13
Jackson County,2008,63.11,21.99
Jackson County,2009,62.84,21.72
Jackson County,2010,43.59,2.47
Jackson County,2011,38.68,-2.44
Jackson County,2012,51.75,10.63
Jackson County,2013,67.27,26.15
Jackson County,2014,61.29,20.17
Jackson County,2015,58.24,17.12
Jackson County,2016,56.72,15.6
Jackson County,2017,54.65,13.53
Jackson County,2018,72.75,31.63
Jackson County,2019,43.59,2.47
Jefferson County,2020,67.58,26.46
Jefferson County,2000,44.39,0
Jefferson County,2001,48.4,4.01
Jefferson County,2002,51.58,7.19
Jefferson County,2003,64.78,20.39
Jefferson County,2004,57.35,12.96
Jefferson County,2005,63.11,18.72
Jefferson County,2006,39.51,-4.88
Jefferson County,2007,36.49,-7.9
Jefferson County,2008,52.77,8.38
Jefferson County,2009,52.98,8.59
Jefferson County,2010,50.5,6.11
Jefferson County,2011,39.6,-4.79
Jefferson County,2012,56.1,11.71
Jefferson County,2013,66.14,21.75
Jefferson County,2014,65.83,21.44
Jefferson County,2015,47.77,3.38
Jefferson County,2016,59.78,15.39
Jefferson County,2017,49.93,5.54
Jefferson County,2018,74.03,29.64
Jefferson County,2019,40.18,-4.21
Lafayette County,2020,54.45,10.06
Lafayette County,2000,42.7,0
Lafayette County,2001,42.4,-0.3
Lafayette County,2002,54.35,11.65
Lafayette County,2003,59.54,16.84
Lafayette County,2004,62.22,19.52
Lafayette County,2005,59.59,16.89
Lafayette County,2006,40.99,-1.71
Lafayette County,2007,41.26,-1.44
Lafayette County,2008,52.24,9.54
Lafayette County,2009,54.16,11.46
Lafayette County,2010,51.67,8.97
Lafayette County,2011,45.09,2.39
Lafayette County,2012,68.84,26.14
Lafayette County,2013,59.49,16.79
Lafayette County,2014,70.56,27.86
Lafayette County,2015,51.39,8.69
Lafayette County,2016,56.1,13.4
Lafayette County,2017,57.11,14.41
Lafayette County,2018,75.41,32.71
Lafayette County,2019,52.32,9.62
Lake County,2020,53.48,10.78
Lake County,2000,32.23,-17.74
Lake County,2001,51.14,1.17
Lake County,2002,66.47,16.5
Lake County,2003,55.71,5.74
Lake County,2004,53.67,3.7
Lake County,2005,58.55,8.58
Lake County,2006,38.04,-11.93
Lake County,2007,42.41,-7.56
Lake County,2008,50.83,0.86
Lake County,2009,49.7,-0.27
Lake County,2010,45.23,-4.74
Lake County,2011,47.87,-2.1
Lake County,2012,46.38,-3.59
Lake County,2013,48.59,-1.38
Lake County,2014,54.86,4.89
Lake County,2015,47.46,-2.51
Lake County,2016,46.6,-3.37
Lake County,2017,57.25,7.28
Lake County,2018,56.87,6.9
Lake County,2019,51.09,1.12
Lee County,2020,48.33,-1.64
Lee County,2000,43.11,-8.93
Lee County,2001,48.54,-3.5
Lee County,2002,51.45,-0.59
Lee County,2003,61.46,9.42
Lee County,2004,52.04,0
Lee County,2005,66.93,14.89
Lee County,2006,45.12,-6.92
Lee County,2007,36.39,-15.65
Lee County,2008,51.7,-0.34
Lee County,2009,45.05,-6.99
Lee County,2010,48.39,-3.65
Lee County,2011,49.34,-2.7
Lee County,2012,45.63,-6.41
Lee County,2013,52.51,0.47
Lee County,2014,49.44,-2.6
Lee County,2015,56.73,4.69
Lee County,2016,58.72,6.68
Lee County,2017,63.5,11.46
Lee County,2018,51.96,-0.08
Lee County,2019,59.03,6.99
Leon County,2020,55.89,3.85
Leon County,2000,44.39,-9.39
Leon County,2001,55.82,2.04
Leon County,2002,54.7,0.92
Leon County,2003,58.24,4.46
Leon County,2004,54.69,0.91
Leon County,2005,64.85,11.07
Leon County,2006,43.81,-9.97
Leon County,2007,39.94,-13.84
Leon County,2008,56.9,3.12
Leon County,2009,54.16,0.38
Leon County,2010,50.28,-3.5
Leon County,2011,36.4,-17.38
Leon County,2012,53.5,-0.28
Leon County,2013,66.55,12.77
Leon County,2014,66.21,12.43
Leon County,2015,49.97,-3.81
Leon County,2016,58.5,4.72
Leon County,2017,51.02,-2.76
Leon County,2018,74.17,20.39
Leon County,2019,38.61,-15.17
Levy County,2020,56.6,2.82
Levy County,2000,39.62,-12.88
Levy County,2001,49.32,-3.18
Levy County,2002,56.95,4.45
Levy County,2003,53.05,0.55
Levy County,2004,64.81,12.31
Levy County,2005,58.26,5.76
Levy County,2006,39.26,-13.24
Levy County,2007,43.04,-9.46
Levy County,2008,40.15,-12.35
Levy County,2009,51.67,-0.83
Levy County,2010,49.06,-3.44
Levy County,2011,41.28,-11.22
Levy County,2012,60.15,7.65
Levy County,2013,55.23,2.73
Levy County,2014,60.13,7.63
Levy County,2015,54.54,2.04
Levy County,2016,50.34,-2.16
Levy County,2017,56.3,3.8
Levy County,2018,71.86,19.36
Levy County,2019,58.54,6.04
Liberty County,2020,48.86,-3.64
Liberty County,2000,43,-11.84
Liberty County,2001,52.51,-2.33
Liberty County,2002,60.9,6.06
Liberty County,2003,62.18,7.34
Liberty County,2004,53.06,-1.78
Liberty County,2005,64.42,9.58
Liberty County,2006,44.97,-9.87
Liberty County,2007,38.54,-16.3
Liberty County,2008,56.39,1.55
Liberty County,2009,62.14,7.3
Liberty County,2010,49.27,-5.57
Liberty County,2011,38.6,-16.24
Liberty County,2012,51.81,-3.03
Liberty County,2013,65.67,10.83
Liberty County,2014,65.12,10.28
Liberty County,2015,53.78,-1.06
Liberty County,2016,56.46,1.62
Liberty County,2017,56.35,1.51
Liberty County,2018,69.73,14.89
Liberty County,2019,45.2,-9.64
Madison County,2020,61.6,6.76
Madison County,2000,40.81,-11.71
Madison County,2001,41.95,-10.57
Madison County,2002,47.77,-4.75
Madison County,2003,64.05,11.53
Madison County,2004,61.39,8.87
Madison County,2005,61.66,9.14
Madison County,2006,37.71,-14.81
Madison County,2007,36.74,-15.78
Madison County,2008,53.54,1.02
Madison County,2009,52.48,-0.04
Madison County,2010,49.57,-2.95
Madison County,2011,43.6,-8.92
Madison County,2012,58.29,5.77
Madison County,2013,63.33,10.81
Madison County,2014,67.65,15.13
Madison County,2015,50.72,-1.8
Madison County,2016,53.48,0.96
Madison County,2017,50.55,-1.97
Madison County,2018,72.26,19.74
Madison County,2019,43.04,-9.48
Manatee County,2020,52.32,-0.2
Manatee County,2000,39.32,-14.55
Manatee County,2001,54.91,1.04
