city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ocala,Ocala,29.178,-82.1511,United States,US,USA,Florida,,169383,1840015067
Hollywood,Hollywood,26.0294,-80.1679,United States,US,USA,Florida,,154817,1840015144
Leesburg,Leesburg,28.7657,-81.8996,United States,US,USA,Florida,,154574,1840015083
Miramar,Miramar,25.9773,-80.3351,United States,US,USA,Florida,,141191,1840015137
Panama City,Panama City,30.1995,-85.6004,United States,US,USA,Florida,,136133,1840015034
Coral Springs,Coral Springs,26.2702,-80.2591,United States,US,USA,Florida,,133759,1840015134
Lehigh Acres,Lehigh Acres,26.612,-81.6388,United States,US,USA,Florida,,123378,1840014220
Clearwater,Clearwater,27.9789,-82.7622,United States,US,USA,Florida,,116946,1840015110
Brandon,Brandon,27.9367,-82.3,United States,US,USA,Florida,,115911,1840014151
Pompano Beach,Pompano Beach,26.2428,-80.1312,United States,US,USA,Florida,,112118,1840015143
West Palm Beach,West Palm Beach,26.7468,-80.1316,United States,US,USA,Florida,,111955,1840015993
Spring Hill,Spring Hill,28.4797,-82.53,United States,US,USA,Florida,,111076,1840014105
Miami Gardens,Miami Gardens,25.9433,-80.2426,United States,US,USA,Florida,,110001,1840015151
Davie,Davie,26.0789,-80.287,United States,US,USA,Florida,,106306,1840017272
Sunrise,Sunrise,26.1547,-80.2997,United States,US,USA,Florida,,95166,1840016000
Miami Beach,Miami Beach,25.8171,-80.1396,United States,US,USA,Florida,,88885,1840015150
Deerfield Beach,Deerfield Beach,26.305,-80.1277,United States,US,USA,Florida,,81066,1840015136
Pine Hills,Pine Hills,28.5818,-81.4693,United States,US,USA,Florida,,78995,1840014098
Lauderhill,Lauderhill,26.1605,-80.2242,United States,US,USA,Florida,,71868,1840015146
Tamarac,Tamarac,26.2056,-80.2542,United States,US,USA,Florida,,66721,1840016001
North Miami,North Miami,25.9007,-80.1686,United States,US,USA,Florida,,62822,1840015154
The Hammocks,The Hammocks,25.67,-80.4483,United States,US,USA,Florida,,61516,1840029009
Coconut Creek,Coconut Creek,26.2803,-80.1842,United States,US,USA,Florida,,61248,1840015132
Fountainebleau,Fountainebleau,25.7723,-80.3458,United States,US,USA,Florida,,60547,1840028983
Margate,Margate,26.2466,-80.2119,United States,US,USA,Florida,,58796,1840015999
Tamiami,Tamiami,25.7556,-80.4016,United States,US,USA,Florida,,56225,1840029085
Kendale Lakes,Kendale Lakes,25.7081,-80.4078,United States,US,USA,Florida,,56182,1840029045
Country Club,Country Club,25.9407,-80.3102,United States,US,USA,Florida,,50431,1840029029
University,University,28.0771,-82.4335,United States,US,USA,Florida,,48436,1840073852
Oakland Park,Oakland Park,26.178,-80.1528,United States,US,USA,Florida,,45202,1840015139
North Lauderdale,North Lauderdale,26.2113,-80.2209,United States,US,USA,Florida,,44262,1840015138
North Miami Beach,North Miami Beach,25.9302,-80.166,United States,US,USA,Florida,,43041,1840015155
Greenacres,Greenacres,26.6272,-80.1371,United States,US,USA,Florida,,41117,1840036057
Hallandale Beach,Hallandale Beach,25.9854,-80.1423,United States,US,USA,Florida,,39847,1840014237
Lake Worth,Lake Worth,26.6196,-80.0591,United States,US,USA,Florida,,38526,1840015127
Kendall West,Kendall West,25.7065,-80.4388,United States,US,USA,Florida,,38433,1840035805
Egypt Lake-Leto,Egypt Lake-Leto,28.0177,-82.5062,United States,US,USA,Florida,,37704,1840073269
Richmond West,Richmond West,25.6105,-80.4297,United States,US,USA,Florida,,37486,1840073270
South Miami Heights,South Miami Heights,25.5886,-80.3862,United States,US,USA,Florida,,37119,1840014240
Aventura,Aventura,25.9565,-80.1372,United States,US,USA,Florida,,36987,1840014243
Lauderdale Lakes,Lauderdale Lakes,26.1682,-80.2017,United States,US,USA,Florida,,36194,1840015145
Buenaventura Lakes,Buenaventura Lakes,28.3349,-81.3539,United States,US,USA,Florida,,34784,1840028974
Golden Glades,Golden Glades,25.9129,-80.2013,United States,US,USA,Florida,,34109,1840029039
West Little River,West Little River,25.857,-80.2367,United States,US,USA,Florida,,32897,1840029096
Miami Lakes,Miami Lakes,25.9125,-80.3214,United States,US,USA,Florida,,31367,1840017275
Westchester,Westchester,25.7474,-80.3358,United States,US,USA,Florida,,29778,1840014241
Golden Gate,Golden Gate,26.1844,-81.7031,United States,US,USA,Florida,,29552,1840014228
Leisure City,Leisure City,25.4937,-80.4369,United States,US,USA,Florida,,26652,1840014245
University Park,University Park,25.7469,-80.3684,United States,US,USA,Florida,,26620,1840029013
Coral Terrace,Coral Terrace,25.7464,-80.3049,United States,US,USA,Florida,,25387,1840029028
South Bradenton,South Bradenton,27.4612,-82.5821,United States,US,USA,Florida,,25227,1840029076
Palm Springs,Palm Springs,26.6349,-80.0968,United States,US,USA,Florida,,25216,1840018308
Oak Ridge,Oak Ridge,28.4727,-81.4169,United States,US,USA,Florida,,24004,1840029062
Hialeah Gardens,Hialeah Gardens,25.8878,-80.3569,United States,US,USA,Florida,,23474,1840015158
Ives Estates,Ives Estates,25.9632,-80.183,United States,US,USA,Florida,,22707,1840028705
The Crossings,The Crossings,25.6708,-80.4018,United States,US,USA,Florida,,22441,1840029008
Lealman,Lealman,27.8197,-82.6847,United States,US,USA,Florida,,22034,1840025161
Jasmine Estates,Jasmine Estates,28.293,-82.6907,United States,US,USA,Florida,,21865,1840014116
Sunny Isles Beach,Sunny Isles Beach,25.9385,-80.1246,United States,US,USA,Florida,,21804,1840016007
Sweetwater,Sweetwater,25.7786,-80.376,United States,US,USA,Florida,,20994,1840016008
Bayshore Gardens,Bayshore Gardens,27.4345,-82.5794,United States,US,USA,Florida,,20287,1840014168
Pinewood,Pinewood,25.8697,-80.2174,United States,US,USA,Florida,,17542,1840029066
Country Walk,Country Walk,25.6331,-80.4353,United States,US,USA,Florida,,17496,1840028979
Brownsville,Brownsville,25.8216,-80.2417,United States,US,USA,Florida,,17051,1840029024
Ojus,Ojus,25.9563,-80.1606,United States,US,USA,Florida,,16417,1840028742
Palmetto Estates,Palmetto Estates,25.6211,-80.3616,United States,US,USA,Florida,,15640,1840029063
West Park,West Park,25.984,-80.1923,United States,US,USA,Florida,,15089,1840016002
Olympia Heights,Olympia Heights,25.7241,-80.339,United States,US,USA,Florida,,13958,1840014247
Key Biscayne,Key Biscayne,25.6908,-80.1653,United States,US,USA,Florida,,12846,1840018333
Wilton Manors,Wilton Manors,26.1593,-80.1395,United States,US,USA,Florida,,12756,1840016004
Lantana,Lantana,26.5834,-80.0564,United States,US,USA,Florida,,12581,1840017259
South Miami,South Miami,25.7079,-80.2952,United States,US,USA,Florida,,11911,1840016006
Naranja,Naranja,25.5164,-80.4221,United States,US,USA,Florida,,11778,1840014246
Westwood Lakes,Westwood Lakes,25.7237,-80.3717,United States,US,USA,Florida,,11510,1840028796
Richmond Heights,Richmond Heights,25.6347,-80.372,United States,US,USA,Florida,,10524,1840014249
West Perrine,West Perrine,25.6061,-80.3639,United States,US,USA,Florida,,9826,1840029018
Westgate,Westgate,26.6994,-80.0989,United States,US,USA,Florida,,9783,1840042909
West Miami,West Miami,25.7578,-80.2969,United States,US,USA,Florida,,8767,1840016009
Broadview Park,Broadview Park,26.0979,-80.2088,United States,US,USA,Florida,,8169,1840028918
North Bay Village,North Bay Village,25.8487,-80.1535,United States,US,USA,Florida,,8057,1840015153
Sky Lake,Sky Lake,28.4611,-81.3912,United States,US,USA,Florida,,7331,1840014085
Lauderdale-by-the-Sea,Lauderdale-by-the-Sea,26.199,-80.0972,United States,US,USA,Florida,,6664,1840017271
Naples Manor,Naples Manor,26.0892,-81.7254,United States,US,USA,Florida,,6507,1840014232
Bay Harbor Islands,Bay Harbor Islands,25.8878,-80.1335,United States,US,USA,Florida,,5793,1840016005
Surfside,Surfside,25.8787,-80.125,United States,US,USA,Florida,,5651,1840017278
Palm Springs North,Palm Springs North,25.9351,-80.3339,United States,US,USA,Florida,,5525,1840047821
South Highpoint,South Highpoint,27.9086,-82.7162,United States,US,USA,Florida,,5435,1840029006
Kenneth City,Kenneth City,27.8155,-82.7162,United States,US,USA,Florida,,5121,1840017244
South Pasadena,South Pasadena,27.7526,-82.7394,United States,US,USA,Florida,,5095,1840015979
Boca Raton,Boca Raton,26.3752,-80.108,United States,US,USA,Florida,,99805,1840014207
Riverview,Riverview,27.8227,-82.3023,United States,US,USA,Florida,,95338,1840014158
Plantation,Plantation,26.126,-80.2617,United States,US,USA,Florida,,94580,1840015142
Alafaya,Alafaya,28.5278,-81.1865,United States,US,USA,Florida,,91068,1840029102
Town 'n' Country,Town 'n' Country,28.0108,-82.576,United States,US,USA,Florida,,87338,1840029089
Fort Myers,Fort Myers,26.6195,-81.8303,United States,US,USA,Florida,,87103,1840014226
Largo,Largo,27.9088,-82.7711,United States,US,USA,Florida,,84948,1840015114
Melbourne,Melbourne,28.1085,-80.6627,United States,US,USA,Florida,,83029,1840015960
Zephyrhills,Zephyrhills,28.2408,-82.1796,United States,US,USA,Florida,,82476,1840015968
St. Augustine,St. Augustine,29.8977,-81.31,United States,US,USA,Florida,,82180,1840015935
The Villages,The Villages,28.9021,-81.9888,United States,US,USA,Florida,,79372,1840014065
Boynton Beach,Boynton Beach,26.5281,-80.0811,United States,US,USA,Florida,,78679,1840014208
Kendall,Kendall,25.6697,-80.3556,United States,US,USA,Florida,,75312,1840014244
Weston,Weston,26.1006,-80.4054,United States,US,USA,Florida,,71166,1840016003
Poinciana,Poinciana,28.1217,-81.482,United States,US,USA,Florida,,69955,1840014132
Homestead,Homestead,25.4665,-80.4472,United States,US,USA,Florida,,69523,1840015159
Delray Beach,Delray Beach,26.455,-80.0905,United States,US,USA,Florida,,69451,1840015123
Daytona Beach,Daytona Beach,29.1994,-81.0982,United States,US,USA,Florida,,69186,1840015068
Jupiter,Jupiter,26.9199,-80.1128,United States,US,USA,Florida,,65791,1840017255
Doral,Doral,25.8151,-80.3565,United States,US,USA,Florida,,65741,1840015148
Wellington,Wellington,26.6461,-80.2699,United States,US,USA,Florida,,65398,1840018311
Port Orange,Port Orange,29.1084,-81.0137,United States,US,USA,Florida,,64842,1840015077
Port Charlotte,Port Charlotte,26.9918,-82.114,United States,US,USA,Florida,,62327,1840014200
Palm Harbor,Palm Harbor,28.0847,-82.7481,United States,US,USA,Florida,,62310,1840014143
Sebring,Sebring,27.477,-81.453,United States,US,USA,Florida,,62250,1840015986
Sanford,Sanford,28.7893,-81.276,United States,US,USA,Florida,,61448,1840015958
Bradenton,Bradenton,27.49,-82.5739,United States,US,USA,Florida,,59439,1840014173
Wesley Chapel,Wesley Chapel,28.2106,-82.3238,United States,US,USA,Florida,,58208,1840014118
Titusville,Titusville,28.5727,-80.8193,United States,US,USA,Florida,,57891,1840015962
Palm Beach Gardens,Palm Beach Gardens,26.8466,-80.1679,United States,US,USA,Florida,,57704,1840015125
St. Cloud,St. Cloud,28.2294,-81.2829,United States,US,USA,Florida,,54579,1840015971
Pinellas Park,Pinellas Park,27.8589,-82.7078,United States,US,USA,Florida,,53637,1840015112
Apopka,Apopka,28.7014,-81.5304,United States,US,USA,Florida,,53447,1840014093
Coral Gables,Coral Gables,25.7037,-80.2715,United States,US,USA,Florida,,49700,1840015147
Ocoee,Ocoee,28.5787,-81.5338,United States,US,USA,Florida,,48263,1840015098
Fort Pierce,Fort Pierce,27.4256,-80.3431,United States,US,USA,Florida,,46103,1840014178
Winter Garden,Winter Garden,28.5421,-81.5966,United States,US,USA,Florida,,46051,1840015965
Altamonte Springs,Altamonte Springs,28.6615,-81.3953,United States,US,USA,Florida,,44143,1840014072
Ormond Beach,Ormond Beach,29.296,-81.1003,United States,US,USA,Florida,,43759,1840015076
Cutler Bay,Cutler Bay,25.5765,-80.3356,United States,US,USA,Florida,,43718,1840017276
North Fort Myers,North Fort Myers,26.7243,-81.8491,United States,US,USA,Florida,,42770,1840014222
Oviedo,Oviedo,28.658,-81.1872,United States,US,USA,Florida,,41860,1840015089
Royal Palm Beach,Royal Palm Beach,26.7038,-80.2241,United States,US,USA,Florida,,40396,1840018309
The Acreage,The Acreage,26.7741,-80.2779,United States,US,USA,Florida,,40177,1840026061
Plant City,Plant City,28.014,-82.1201,United States,US,USA,Florida,,39744,1840015115
Crestview,Crestview,30.748,-86.5784,United States,US,USA,Florida,,39072,1840015007
Horizon West,Horizon West,28.4417,-81.6145,United States,US,USA,Florida,,39065,1840038926
Clermont,Clermont,28.5402,-81.7259,United States,US,USA,Florida,,38654,1840015080
Land O' Lakes,Land O' Lakes,28.2075,-82.4476,United States,US,USA,Florida,,38410,1840014120
Valrico,Valrico,27.9193,-82.2293,United States,US,USA,Florida,,37980,1840028790
Navarre,Navarre,30.4174,-86.8907,United States,US,USA,Florida,,37362,1840027017
Winter Springs,Winter Springs,28.6889,-81.2704,United States,US,USA,Florida,,37312,1840015959
Dunedin,Dunedin,28.0329,-82.7863,United States,US,USA,Florida,,36537,1840014144
Merritt Island,Merritt Island,28.3146,-80.6713,United States,US,USA,Florida,,36532,1840014076
Cooper City,Cooper City,26.0463,-80.2862,United States,US,USA,Florida,,35800,1840015133
Meadow Woods,Meadow Woods,28.3698,-81.3467,United States,US,USA,Florida,,35726,1840029057
Carrollwood,Carrollwood,28.0577,-82.5149,United States,US,USA,Florida,,35686,1840029026
Riviera Beach,Riviera Beach,26.7812,-80.0742,United States,US,USA,Florida,,35463,1840015126
DeLand,DeLand,29.0224,-81.2873,United States,US,USA,Florida,,34851,1840015071
Parkland,Parkland,26.3218,-80.2533,United States,US,USA,Florida,,34170,1840015140
Estero,Estero,26.4277,-81.7951,United States,US,USA,Florida,,33871,1840013129
Ferry Pass,Ferry Pass,30.5203,-87.1903,United States,US,USA,Florida,,32376,1840013909
Princeton,Princeton,25.5396,-80.3971,United States,US,USA,Florida,,32299,1840014248
Dania Beach,Dania Beach,26.0594,-80.1637,United States,US,USA,Florida,,32271,1840015135
East Lake,East Lake,28.1205,-82.6868,United States,US,USA,Florida,,32169,1840028980
Key West,Key West,24.5637,-81.7768,United States,US,USA,Florida,,31401,1840015161
Fruit Cove,Fruit Cove,30.0972,-81.6176,United States,US,USA,Florida,,31314,1840013970
Winter Park,Winter Park,28.5987,-81.3438,United States,US,USA,Florida,,30825,1840015966
Lake Magdalene,Lake Magdalene,28.0875,-82.4791,United States,US,USA,Florida,,30805,1840029049
Lakeside,Lakeside,30.1356,-81.7674,United States,US,USA,Florida,,30458,1840029051
East Lake-Orient Park,East Lake-Orient Park,27.9971,-82.3653,United States,US,USA,Florida,,29346,1840073826
Fernandina Beach,Fernandina Beach,30.6579,-81.4504,United States,US,USA,Florida,,28931,1840013929
Casselberry,Casselberry,28.6625,-81.3218,United States,US,USA,Florida,,28757,1840015088
Fleming Island,Fleming Island,30.0988,-81.7124,United States,US,USA,Florida,,28676,1840038864
Belle Glade,Belle Glade,26.692,-80.6672,United States,US,USA,Florida,,28665,1840014206
Oakleaf Plantation,Oakleaf Plantation,30.1689,-81.8337,United States,US,USA,Florida,,28237,1840039045
Rockledge,Rockledge,28.3201,-80.732,United States,US,USA,Florida,,28227,1840015095
New Smyrna Beach,New Smyrna Beach,29.0249,-80.9651,United States,US,USA,Florida,,27843,1840015073
Bayonet Point,Bayonet Point,28.3254,-82.6834,United States,US,USA,Florida,,27418,1840014117
Citrus Park,Citrus Park,28.073,-82.5628,United States,US,USA,Florida,,27026,1840014152
Temple Terrace,Temple Terrace,28.0437,-82.3774,United States,US,USA,Florida,,26639,1840015983
Immokalee,Immokalee,26.4253,-81.4251,United States,US,USA,Florida,,26597,1840014230
Lake City,Lake City,30.1901,-82.647,United States,US,USA,Florida,,26271,1840015029
Okeechobee,Okeechobee,27.2414,-80.8298,United States,US,USA,Florida,,26256,1840015118
Sebastian,Sebastian,27.7882,-80.4813,United States,US,USA,Florida,,26118,1840015984
Haines City,Haines City,28.11,-81.6157,United States,US,USA,Florida,,26009,1840014136
Tarpon Springs,Tarpon Springs,28.1493,-82.7623,United States,US,USA,Florida,,25577,1840015980
Ruskin,Ruskin,27.7065,-82.4209,United States,US,USA,Florida,,25530,1840014159
Keystone,Keystone,28.1312,-82.5999,United States,US,USA,Florida,,25493,1840028914
Palm City,Palm City,27.1736,-80.2861,United States,US,USA,Florida,,24840,1840014192
Palmetto Bay,Palmetto Bay,25.622,-80.3221,United States,US,USA,Florida,,24523,1840018335
Bloomingdale,Bloomingdale,27.8784,-82.2624,United States,US,USA,Florida,,24446,1840014150
Sun City Center,Sun City Center,27.7149,-82.3569,United States,US,USA,Florida,,24286,1840001841
West Melbourne,West Melbourne,28.0693,-80.6734,United States,US,USA,Florida,,24259,1840015963
Venice,Venice,27.1163,-82.4135,United States,US,USA,Florida,,23985,1840015989
Wright,Wright,30.4445,-86.6419,United States,US,USA,Florida,,23965,1840013921
Westchase,Westchase,28.0597,-82.611,United States,US,USA,Florida,,23923,1840029017
Edgewater,Edgewater,28.9594,-80.9407,United States,US,USA,Florida,,23918,1840014043
Palm River-Clair Mel,Palm River-Clair Mel,27.9239,-82.3791,United States,US,USA,Florida,,23844,1840073873
Palatka,Palatka,29.6493,-81.6705,United States,US,USA,Florida,,23738,1840015062
Jacksonville Beach,Jacksonville Beach,30.2782,-81.4045,United States,US,USA,Florida,,23628,1840015032
Wekiwa Springs,Wekiwa Springs,28.6984,-81.4251,United States,US,USA,Florida,,23512,1840029016
Northdale,Northdale,28.1058,-82.5263,United States,US,USA,Florida,,23510,1840029107
Vero Beach South,Vero Beach South,27.6164,-80.413,United States,US,USA,Florida,,23333,1840073853
Pace,Pace,30.6187,-87.1667,United States,US,USA,Florida,,22860,1840013919
Fort Walton Beach,Fort Walton Beach,30.4249,-86.6194,United States,US,USA,Florida,,22521,1840013923
Florida Ridge,Florida Ridge,27.5805,-80.3848,United States,US,USA,Florida,,22372,1840029035
Brent,Brent,30.4729,-87.2496,United States,US,USA,Florida,,22337,1840013913
Lutz,Lutz,28.1396,-82.4467,United States,US,USA,Florida,,22235,1840014156
Ensley,Ensley,30.5261,-87.2735,United States,US,USA,Florida,,22194,1840013104
Naples,Naples,26.1504,-81.7936,United States,US,USA,Florida,,22088,1840015131
Fish Hawk,Fish Hawk,27.8511,-82.2164,United States,US,USA,Florida,,21929,1840028982
Bellview,Bellview,30.462,-87.312,United States,US,USA,Florida,,21515,1840013912
DeBary,DeBary,28.8815,-81.324,United States,US,USA,Florida,,21305,1840015070
Eustis,Eustis,28.856,-81.6781,United States,US,USA,Florida,,21303,1840014054
Palm Valley,Palm Valley,30.2011,-81.3949,United States,US,USA,Florida,,21292,1840013971
West Pensacola,West Pensacola,30.4263,-87.2679,United States,US,USA,Florida,,21056,1840013915
Apollo Beach,Apollo Beach,27.7618,-82.4002,United States,US,USA,Florida,,20947,1840014149
Hunters Creek,Hunters Creek,28.3611,-81.4357,United States,US,USA,Florida,,20817,1840028986
Holiday,Holiday,28.1864,-82.7429,United States,US,USA,Florida,,20816,1840014114
Lynn Haven,Lynn Haven,30.2337,-85.637,United States,US,USA,Florida,,20525,1840015922
Punta Gorda,Punta Gorda,26.8933,-82.0516,United States,US,USA,Florida,,20369,1840015122
Bartow,Bartow,27.8868,-81.8213,United States,US,USA,Florida,,20147,1840014128
Lake Butler,Lake Butler,28.4868,-81.5453,United States,US,USA,Florida,,19499,1840143771
Pinecrest,Pinecrest,25.665,-80.3042,United States,US,USA,Florida,,19155,1840018336
Arcadia,Arcadia,27.2213,-81.8587,United States,US,USA,Florida,,19038,1840014187
Seminole,Seminole,27.8435,-82.7839,United States,US,USA,Florida,,18838,1840015978
Cocoa,Cocoa,28.382,-80.7674,United States,US,USA,Florida,,18603,1840015092
Gibsonton,Gibsonton,27.826,-82.3761,United States,US,USA,Florida,,18515,1840014148
World Golf Village,World Golf Village,29.9653,-81.4898,United States,US,USA,Florida,,18327,1840039162
Lake Placid,Lake Placid,27.2977,-81.3715,United States,US,USA,Florida,,18227,1840017248
Safety Harbor,Safety Harbor,28.008,-82.6964,United States,US,USA,Florida,,18016,1840015975
San Carlos Park,San Carlos Park,26.4765,-81.8193,United States,US,USA,Florida,,17961,1840014218
Marco Island,Marco Island,25.933,-81.6993,United States,US,USA,Florida,,17947,1840036141
Midway,Midway,30.4138,-87.0261,United States,US,USA,Florida,,17760,1840143881
Tavares,Tavares,28.7921,-81.7353,United States,US,USA,Florida,,17749,1840015953
Maitland,Maitland,28.6295,-81.3717,United States,US,USA,Florida,,17652,1840015964
Upper Grand Lagoon,Upper Grand Lagoon,30.169,-85.7407,United States,US,USA,Florida,,17550,1840029090
Vero Beach,Vero Beach,27.6463,-80.393,United States,US,USA,Florida,,17503,1840015985
Lake Mary,Lake Mary,28.7592,-81.3359,United States,US,USA,Florida,,17479,1840015090
Glenvar Heights,Glenvar Heights,25.709,-80.3156,United States,US,USA,Florida,,17065,1840014238
Myrtle Grove,Myrtle Grove,30.4158,-87.3028,United States,US,USA,Florida,,16875,1840013917
Lake Wales,Lake Wales,27.9195,-81.5961,United States,US,USA,Florida,,16759,1840015107
New Port Richey,New Port Richey,28.2468,-82.717,United States,US,USA,Florida,,16737,1840015102
Auburndale,Auburndale,28.0962,-81.8011,United States,US,USA,Florida,,16650,1840014127
Groveland,Groveland,28.6021,-81.8204,United States,US,USA,Florida,,16423,1840014056
Stuart,Stuart,27.1958,-80.2438,United States,US,USA,Florida,,16237,1840015990
Lady Lake,Lady Lake,28.9241,-81.9299,United States,US,USA,Florida,,16020,1840017229
Niceville,Niceville,30.5291,-86.4754,United States,US,USA,Florida,,15972,1840015009
Opa-locka,Opa-locka,25.8997,-80.2551,United States,US,USA,Florida,,15887,1840015156
Sunset,Sunset,25.7061,-80.353,United States,US,USA,Florida,,15871,1840029084
Sarasota Springs,Sarasota Springs,27.3092,-82.4788,United States,US,USA,Florida,,15854,1840029072
Three Lakes,Three Lakes,25.6415,-80.4,United States,US,USA,Florida,,15614,1840029010
Longwood,Longwood,28.7014,-81.3487,United States,US,USA,Florida,,15561,1840015957
Southchase,Southchase,28.3793,-81.3903,United States,US,USA,Florida,,15314,1840029005
Englewood,Englewood,26.9603,-82.3535,United States,US,USA,Florida,,15095,1840013127
Oldsmar,Oldsmar,28.0507,-82.6698,United States,US,USA,Florida,,15061,1840015111
West Lealman,West Lealman,27.8191,-82.7385,United States,US,USA,Florida,,14891,1840039134
Bellair-Meadowbrook Terrace,Bellair-Meadowbrook Terrace,30.1796,-81.7375,United States,US,USA,Florida,,14800,1840073845
Nocatee,Nocatee,30.0918,-81.4097,United States,US,USA,Florida,,14747,1840028805
Azalea Park,Azalea Park,28.5473,-81.2956,United States,US,USA,Florida,,14700,1840014082
Gonzalez,Gonzalez,30.5822,-87.2906,United States,US,USA,Florida,,14598,1840013910
Forest City,Forest City,28.6619,-81.4443,United States,US,USA,Florida,,14592,1840028825
Mount Dora,Mount Dora,28.8143,-81.6344,United States,US,USA,Florida,,14516,1840015082
Thonotosassa,Thonotosassa,28.0465,-82.291,United States,US,USA,Florida,,14460,1840014154
Lockhart,Lockhart,28.6271,-81.4354,United States,US,USA,Florida,,14430,1840014095
Clewiston,Clewiston,26.7529,-80.9399,United States,US,USA,Florida,,14383,1840015128
Warrington,Warrington,30.3821,-87.2944,United States,US,USA,Florida,,14351,1840013914
Destin,Destin,30.395,-86.4701,United States,US,USA,Florida,,14247,1840015008
Iona,Iona,26.516,-81.9601,United States,US,USA,Florida,,14118,1840028702
Middleburg,Middleburg,30.0502,-81.9011,United States,US,USA,Florida,,14111,1840013998
Fruitville,Fruitville,27.3328,-82.4616,United States,US,USA,Florida,,14068,1840014179
Lakewood Park,Lakewood Park,27.539,-80.3865,United States,US,USA,Florida,,14064,1840014177
Callaway,Callaway,30.1348,-85.5568,United States,US,USA,Florida,,14060,1840013958
Hobe Sound,Hobe Sound,27.0729,-80.1425,United States,US,USA,Florida,,14003,1840014188
Wauchula,Wauchula,27.5469,-81.8101,United States,US,USA,Florida,,13992,1840015987
Miami Springs,Miami Springs,25.8195,-80.2894,United States,US,USA,Florida,,13917,1840015152
South Venice,South Venice,27.0434,-82.4152,United States,US,USA,Florida,,13907,1840014180
Atlantic Beach,Atlantic Beach,30.3371,-81.4128,United States,US,USA,Florida,,13872,1840013956
Palmetto,Palmetto,27.5251,-82.575,United States,US,USA,Florida,,13748,1840015116
East Milton,East Milton,30.6175,-86.9636,United States,US,USA,Florida,,13697,1840025112
LaBelle,LaBelle,26.7219,-81.4506,United States,US,USA,Florida,,13563,1840015129
Conway,Conway,28.4968,-81.3316,United States,US,USA,Florida,,13528,1840013121
Jensen Beach,Jensen Beach,27.2438,-80.2423,United States,US,USA,Florida,,13479,1840014190
Homosassa Springs,Homosassa Springs,28.8118,-82.5392,United States,US,USA,Florida,,13478,1840014060
North Palm Beach,North Palm Beach,26.8216,-80.0576,United States,US,USA,Florida,,13127,1840018307
South Daytona,South Daytona,29.1656,-81.0056,United States,US,USA,Florida,,13080,1840015950
Villas,Villas,26.5504,-81.8679,United States,US,USA,Florida,,13072,1840029092
Cypress Lake,Cypress Lake,26.5391,-81.9,United States,US,USA,Florida,,12978,1840029032
Gladeview,Gladeview,25.8395,-80.2368,United States,US,USA,Florida,,12977,1840029038
Yulee,Yulee,30.635,-81.5678,United States,US,USA,Florida,,12754,1840013928
Jupiter Farms,Jupiter Farms,26.9224,-80.2187,United States,US,USA,Florida,,12750,1840042432
Elfers,Elfers,28.214,-82.723,United States,US,USA,Florida,,12600,1840013122
Minneola,Minneola,28.6067,-81.7322,United States,US,USA,Florida,,12595,1840015081
Panama City Beach,Panama City Beach,30.2369,-85.8775,United States,US,USA,Florida,,12583,1840015035
Goldenrod,Goldenrod,28.6114,-81.2916,United States,US,USA,Florida,,12384,1840014080
