Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Zip,32096,FL,Hamilton County,White Springs,7/31/2022,5.1
Zip,32097,FL,Nassau County,Yulee,7/31/2022,9
Zip,32102,FL,Lake County,Astor,7/31/2022,10.6
Zip,32110,FL,Flagler County,Bunnell,7/31/2022,12.5
Zip,32112,FL,Putnam County,Crescent City,7/31/2022,9.7
Zip,32113,FL,Marion County,Citra,7/31/2022,8.5
Zip,32114,FL,Volusia County,Daytona Beach,7/31/2022,11.5
Zip,32117,FL,Volusia County,Holly Hill,7/31/2022,10.7
Zip,32118,FL,Volusia County,Daytona Beach,7/31/2022,11.4
Zip,32119,FL,Volusia County,South Daytona,7/31/2022,11.4
Zip,32124,FL,Volusia County,Daytona Beach,7/31/2022,11.4
Zip,32127,FL,Volusia County,Port Orange,7/31/2022,11.3
Zip,32128,FL,Volusia County,Port Orange,7/31/2022,11.1
Zip,32129,FL,Volusia County,Port Orange,7/31/2022,10.8
Zip,32130,FL,Volusia County,De Leon Springs,7/31/2022,12.1
Zip,32131,FL,Putnam County,East Palatka,7/31/2022,9.1
Zip,32132,FL,Volusia County,Edgewater,7/31/2022,11.4
Zip,32133,FL,Marion County,Weirsdale,7/31/2022,5.3
Zip,32134,FL,Marion County,Fort Mc Coy,7/31/2022,8.2
Zip,32136,FL,Flagler County,Flagler Beach,7/31/2022,11
Zip,32137,FL,Flagler County,Palm Coast,7/31/2022,12.2
Zip,32139,FL,Putnam County,Georgetown,7/31/2022,9.7
Zip,32140,FL,Putnam County,Florahome,7/31/2022,7.7
Zip,32141,FL,Volusia County,Edgewater,7/31/2022,11.7
Zip,32145,FL,Saint Johns County,Hastings,7/31/2022,12.5
Zip,32148,FL,Putnam County,Interlachen,7/31/2022,7.2
Zip,32159,FL,Sumter County,The Villages,7/31/2022,8.6
Zip,32162,FL,Sumter County,The Villages,7/31/2022,7.7
Zip,32163,FL,Sumter County,The Villages,7/31/2022,7.9
Zip,32164,FL,Flagler County,Palm Coast,7/31/2022,12
Zip,32168,FL,Volusia County,New Smyrna Beach,7/31/2022,11.3
Zip,32169,FL,Volusia County,New Smyrna Beach,7/31/2022,11.7
Zip,32174,FL,Volusia County,Ormond Beach,7/31/2022,11.3
Zip,32176,FL,Volusia County,Ormond Beach,7/31/2022,12.1
Zip,32177,FL,Putnam County,Palatka,7/31/2022,8.4
Zip,32179,FL,Marion County,Ocklawaha,7/31/2022,8
Zip,32180,FL,Volusia County,Pierson,7/31/2022,12.1
Zip,32181,FL,Putnam County,Pomona Park,7/31/2022,9.2
Zip,32187,FL,Putnam County,San Mateo,7/31/2022,11.5
Zip,32189,FL,Putnam County,Satsuma,7/31/2022,10
Zip,32190,FL,Volusia County,Seville,7/31/2022,12.5
Zip,32193,FL,Putnam County,Welaka,7/31/2022,8.8
Zip,32195,FL,Marion County,Weirsdale,7/31/2022,8.9
Zip,32202,FL,Duval County,Jacksonville,7/31/2022,9.6
Zip,32204,FL,Duval County,Jacksonville,7/31/2022,10.4
Zip,32205,FL,Duval County,Jacksonville,7/31/2022,9.7
Zip,32206,FL,Duval County,Jacksonville,7/31/2022,13.7
Zip,32207,FL,Duval County,Jacksonville,7/31/2022,10
Zip,32208,FL,Duval County,Jacksonville,7/31/2022,8.6
Zip,32209,FL,Duval County,Jacksonville,7/31/2022,11.5
Zip,32210,FL,Duval County,Jacksonville,7/31/2022,9.9
Zip,32211,FL,Duval County,Jacksonville,7/31/2022,10.3
Zip,32216,FL,Duval County,Jacksonville,7/31/2022,10.3
Zip,32217,FL,Duval County,Jacksonville,7/31/2022,9.8
Zip,32218,FL,Duval County,Jacksonville,7/31/2022,10.6
Zip,32219,FL,Duval County,Jacksonville,7/31/2022,10.4
Zip,32220,FL,Duval County,Jacksonville,7/31/2022,10.3
Zip,32221,FL,Duval County,Jacksonville,7/31/2022,10.2
Zip,32222,FL,Duval County,Jacksonville,7/31/2022,10.7
Zip,32223,FL,Duval County,Jacksonville,7/31/2022,10.8
Zip,32224,FL,Duval County,Jacksonville,7/31/2022,10.1
Zip,32225,FL,Duval County,Jacksonville,7/31/2022,10.4
Zip,32226,FL,Duval County,Jacksonville,7/31/2022,10.6
Zip,32233,FL,Duval County,Atlantic Beach,7/31/2022,10.7
Zip,32234,FL,Duval County,Jacksonville,7/31/2022,10.5
Zip,32244,FL,Duval County,Jacksonville,7/31/2022,10.8
Zip,32246,FL,Duval County,Jacksonville,7/31/2022,10.2
Zip,32250,FL,Duval County,Jacksonville Beach,7/31/2022,9.9
Zip,32254,FL,Duval County,Jacksonville,7/31/2022,8.4
Zip,32256,FL,Duval County,Jacksonville,7/31/2022,10.2
Zip,32257,FL,Duval County,Jacksonville,7/31/2022,10.6
Zip,32258,FL,Duval County,Jacksonville,7/31/2022,10.8
Zip,32259,FL,Saint Johns County,Fruit Cove,7/31/2022,11.9
Zip,32266,FL,Duval County,Neptune Beach,7/31/2022,10.2
Zip,32277,FL,Duval County,Jacksonville,7/31/2022,10.9
Zip,32301,FL,Leon County,Tallahassee,7/31/2022,7.9
Zip,32303,FL,Leon County,Tallahassee,7/31/2022,8.4
Zip,32304,FL,Leon County,Tallahassee,7/31/2022,7.9
Zip,32305,FL,Leon County,Tallahassee,7/31/2022,10.1
Zip,32308,FL,Leon County,Tallahassee,7/31/2022,8.3
Zip,32309,FL,Leon County,Tallahassee,7/31/2022,8.5
Zip,32310,FL,Leon County,Tallahassee,7/31/2022,9.7
Zip,32311,FL,Leon County,Tallahassee,7/31/2022,8.6
Zip,32312,FL,Leon County,Tallahassee,7/31/2022,8.5
Zip,32317,FL,Leon County,Tallahassee,7/31/2022,8.2
Zip,32320,FL,Franklin County,Apalachicola,7/31/2022,8.3
Zip,32321,FL,Liberty County,Bristol,7/31/2022,6.7
Zip,32322,FL,Franklin County,Carrabelle,7/31/2022,6.7
Zip,32324,FL,Gadsden County,Chattahoochee,7/31/2022,5.3
Zip,32327,FL,Wakulla County,Crawfordville,7/31/2022,6.1
Zip,32328,FL,Franklin County,Eastpoint,7/31/2022,6.7
Zip,32330,FL,Gadsden County,Quincy,7/31/2022,7.6
Zip,32331,FL,Madison County,Greenville,7/31/2022,6.4
Zip,32332,FL,Gadsden County,Gretna,7/31/2022,4.5
Zip,32333,FL,Gadsden County,Havana,7/31/2022,4.1
Zip,32334,FL,Liberty County,Hosford,7/31/2022,5
Zip,32336,FL,Jefferson County,Lamont,7/31/2022,6.2
Zip,32340,FL,Madison County,Madison,7/31/2022,6.7
Zip,32343,FL,Gadsden County,Midway,7/31/2022,5.7
Zip,32344,FL,Jefferson County,Monticello,7/31/2022,6.1
Zip,32346,FL,Wakulla County,Panacea,7/31/2022,6.4
Zip,32347,FL,Taylor County,Perry,7/31/2022,6.9
Zip,32348,FL,Taylor County,Perry,7/31/2022,6.9
Zip,32350,FL,Madison County,Pinetta,7/31/2022,9.1
Zip,32351,FL,Gadsden County,Quincy,7/31/2022,4.3
Zip,32352,FL,Gadsden County,Quincy,7/31/2022,5.5
Zip,32355,FL,Wakulla County,Crawfordville,7/31/2022,6.4
Zip,32356,FL,Taylor County,Salem,7/31/2022,5.8
Zip,32358,FL,Wakulla County,Sopchoppy,7/31/2022,6.2
Zip,32359,FL,Taylor County,Steinhatchee,7/31/2022,7.8
Zip,32360,FL,Liberty County,Hosford,7/31/2022,4.9
Zip,32401,FL,Bay County,Panama City,7/31/2022,9.4
Zip,32404,FL,Bay County,Panama City,7/31/2022,8.5
Zip,32405,FL,Bay County,Panama City,7/31/2022,8.5
Zip,32407,FL,Bay County,Panama City Beach,7/31/2022,9.9
Zip,32408,FL,Bay County,Panama City Beach,7/31/2022,9.9
Zip,32409,FL,Bay County,Lynn Haven,7/31/2022,9.8
Zip,32413,FL,Bay County,Panama City Beach,7/31/2022,10.8
Zip,32420,FL,Jackson County,Alford,7/31/2022,6.6
Zip,32421,FL,Calhoun County,Altha,7/31/2022,7.3
Zip,32423,FL,Jackson County,Bascom,7/31/2022,4.6
Zip,32424,FL,Calhoun County,Blountstown,7/31/2022,6.2
Zip,32425,FL,Holmes County,Bonifay,7/31/2022,7.1
Zip,32426,FL,Jackson County,Campbellton,7/31/2022,6.8
Zip,32427,FL,Washington County,Caryville,7/31/2022,6.2
Zip,32428,FL,Washington County,Chipley,7/31/2022,6.4
Zip,32430,FL,Calhoun County,Altha,7/31/2022,6
Zip,32431,FL,Jackson County,Cottondale,7/31/2022,6.8
Zip,32433,FL,Walton County,Defuniak Springs,7/31/2022,11.6
Zip,32435,FL,Walton County,Defuniak Springs,7/31/2022,11.3
Zip,32437,FL,Washington County,Ebro,7/31/2022,7.4
Zip,32438,FL,Bay County,Fountain,7/31/2022,10.5
Zip,32439,FL,Walton County,Freeport,7/31/2022,12.7
Zip,32440,FL,Jackson County,Graceville,7/31/2022,6.7
Zip,32442,FL,Jackson County,Grand Ridge,7/31/2022,5.6
Zip,32443,FL,Jackson County,Greenwood,7/31/2022,6.4
Zip,32444,FL,Bay County,Lynn Haven,7/31/2022,8.2
Zip,32445,FL,Jackson County,Malone,7/31/2022,5.2
Zip,32446,FL,Jackson County,Marianna,7/31/2022,6.5
Zip,32448,FL,Jackson County,Marianna,7/31/2022,7.1
Zip,32449,FL,Gulf County,Wewahitchka,7/31/2022,4.8
Zip,32455,FL,Walton County,Ponce de Leon,7/31/2022,9.9
Zip,32456,FL,Gulf County,Port Saint Joe,7/31/2022,8.6
Zip,32459,FL,Walton County,Santa Rosa Beach,7/31/2022,14.4
Zip,32460,FL,Jackson County,Sneads,7/31/2022,5.9
Zip,32461,FL,Bay County,Panama City Beach,7/31/2022,14.6
Zip,32462,FL,Washington County,Vernon,7/31/2022,6.4
Zip,32463,FL,Washington County,Chipley,7/31/2022,6
Zip,32464,FL,Holmes County,Westville,7/31/2022,8.4
Zip,32465,FL,Gulf County,Wewahitchka,7/31/2022,7.2
Zip,32466,FL,Bay County,Youngstown,7/31/2022,10.4
Zip,32501,FL,Escambia County,Pensacola,7/31/2022,9.1
Zip,32502,FL,Escambia County,Pensacola,7/31/2022,8.3
Zip,32503,FL,Escambia County,Pensacola,7/31/2022,9.9
Zip,32504,FL,Escambia County,Pensacola,7/31/2022,9.4
Zip,32505,FL,Escambia County,Pensacola,7/31/2022,12.9
Zip,32506,FL,Escambia County,Pensacola,7/31/2022,11.2
Zip,32507,FL,Escambia County,Pensacola,7/31/2022,9.8
Zip,32514,FL,Escambia County,Pensacola,7/31/2022,9.8
Zip,32526,FL,Escambia County,Pensacola,7/31/2022,10.9
Zip,32530,FL,Santa Rosa County,Milton,7/31/2022,10.5
Zip,32531,FL,Okaloosa County,Baker,7/31/2022,8.7
Zip,32533,FL,Escambia County,Cantonment,7/31/2022,10.4
Zip,32534,FL,Escambia County,Pensacola,7/31/2022,10.7
Zip,32535,FL,Escambia County,Century,7/31/2022,4.6
Zip,32536,FL,Okaloosa County,Crestview,7/31/2022,9.5
Zip,32539,FL,Okaloosa County,Crestview,7/31/2022,9.9
Zip,32541,FL,Okaloosa County,Destin,7/31/2022,9.7
Zip,32547,FL,Okaloosa County,Fort Walton Beach,7/31/2022,9.8
Zip,32548,FL,Okaloosa County,Fort Walton Beach,7/31/2022,9.9
Zip,32550,FL,Walton County,Miramar Beach,7/31/2022,13.5
Zip,32561,FL,Santa Rosa County,Gulf Breeze,7/31/2022,10.3
Zip,32563,FL,Santa Rosa County,Gulf Breeze,7/31/2022,10
Zip,32564,FL,Okaloosa County,Holt,7/31/2022,8.6
Zip,32565,FL,Santa Rosa County,Jay,7/31/2022,9.7
Zip,32566,FL,Santa Rosa County,Navarre,7/31/2022,10.1
Zip,32567,FL,Okaloosa County,Laurel Hill,7/31/2022,13.4
Zip,32568,FL,Escambia County,Mc David,7/31/2022,7.4
Zip,32569,FL,Okaloosa County,Mary Esther,7/31/2022,9.8
Zip,32570,FL,Santa Rosa County,Milton,7/31/2022,10
Zip,32571,FL,Santa Rosa County,Pace,7/31/2022,10.1
Zip,32577,FL,Escambia County,Molino,7/31/2022,9
Zip,32578,FL,Okaloosa County,Niceville,7/31/2022,9.2
Zip,32579,FL,Okaloosa County,Shalimar,7/31/2022,9.3
Zip,32580,FL,Okaloosa County,Valparaiso,7/31/2022,9.8
Zip,32583,FL,Santa Rosa County,Milton,7/31/2022,10.2
Zip,32601,FL,Alachua County,Gainesville,7/31/2022,8.4
Zip,32603,FL,Alachua County,Gainesville,7/31/2022,7
Zip,32605,FL,Alachua County,Gainesville,7/31/2022,9.1
Zip,32606,FL,Alachua County,Gainesville,7/31/2022,9.4
Zip,32607,FL,Alachua County,Gainesville,7/31/2022,8.7
Zip,32608,FL,Alachua County,Gainesville,7/31/2022,9
Zip,32609,FL,Alachua County,Gainesville,7/31/2022,9.2
Zip,32615,FL,Alachua County,Alachua,7/31/2022,9.7
Zip,32617,FL,Marion County,Anthony,7/31/2022,8.2
Zip,32618,FL,Alachua County,Archer,7/31/2022,10.2
Zip,32619,FL,Gilchrist County,Bell,7/31/2022,5.4
Zip,32621,FL,Levy County,Bronson,7/31/2022,6.3
Zip,32622,FL,Bradford County,Brooker,7/31/2022,7.6
Zip,32625,FL,Levy County,Cedar Key,7/31/2022,6.2
Zip,32626,FL,Levy County,Manattee Road,7/31/2022,5.9
Zip,32628,FL,Gilchrist County,Trenton,7/31/2022,6.4
Zip,32631,FL,Alachua County,Earleton,7/31/2022,7.5
Zip,32640,FL,Putnam County,Hawthorne,7/31/2022,9.8
Zip,32641,FL,Alachua County,Gainesville,7/31/2022,10.2
Zip,32643,FL,Alachua County,High Springs,7/31/2022,9.2
Zip,32648,FL,Dixie County,Horseshoe Beach,7/31/2022,5.9
Zip,32653,FL,Alachua County,Gainesville,7/31/2022,9.8
Zip,32656,FL,Clay County,Keystone Heights,7/31/2022,9.3
Zip,32664,FL,Alachua County,Micanopy,7/31/2022,8.4
Zip,32666,FL,Putnam County,Melrose,7/31/2022,7.9
Zip,32667,FL,Alachua County,Micanopy,7/31/2022,10
Zip,32668,FL,Levy County,Morriston,7/31/2022,7.4
Zip,32669,FL,Alachua County,Newberry,7/31/2022,9.5
Zip,32680,FL,Dixie County,Old Town,7/31/2022,6.8
Zip,32683,FL,Levy County,Otter Creek,7/31/2022,6.7
Zip,32686,FL,Marion County,Reddick,7/31/2022,9
Zip,32693,FL,Gilchrist County,Trenton,7/31/2022,5.5
Zip,32694,FL,Alachua County,Waldo,7/31/2022,10.1
Zip,32696,FL,Levy County,Williston,7/31/2022,6.2
Zip,32701,FL,Seminole County,Altamonte Springs,7/31/2022,9.1
Zip,32702,FL,Lake County,Altoona,7/31/2022,8.5
Zip,32703,FL,Orange County,Apopka,7/31/2022,10.7
Zip,32707,FL,Seminole County,Casselberry,7/31/2022,9.7
Zip,32708,FL,Seminole County,Winter Springs,7/31/2022,9.6
Zip,32712,FL,Orange County,Apopka,7/31/2022,11.6
Zip,32713,FL,Volusia County,Debary,7/31/2022,11
Zip,32714,FL,Seminole County,Altamonte Springs,7/31/2022,9.3
Zip,32720,FL,Volusia County,Deland,7/31/2022,11.5
Zip,32724,FL,Volusia County,Deland,7/31/2022,11.5
Zip,32725,FL,Volusia County,Deltona,7/31/2022,11.2
Zip,32726,FL,Lake County,Eustis,7/31/2022,10.8
Zip,32730,FL,Seminole County,Casselberry,7/31/2022,8.3
Zip,32732,FL,Seminole County,Geneva,7/31/2022,9.5
Zip,32735,FL,Lake County,Grand Island,7/31/2022,11.2
Zip,32736,FL,Lake County,Eustis,7/31/2022,11.5
Zip,32738,FL,Volusia County,Deltona,7/31/2022,11.3
Zip,32744,FL,Volusia County,Lake Helen,7/31/2022,11.4
Zip,32746,FL,Seminole County,Lake Mary,7/31/2022,9.3
Zip,32750,FL,Seminole County,Longwood,7/31/2022,9.8
Zip,32751,FL,Orange County,Maitland,7/31/2022,9.7
Zip,32754,FL,Brevard County,Mims,7/31/2022,10.1
Zip,32757,FL,Lake County,Mount Dora,7/31/2022,10.9
Zip,32759,FL,Volusia County,Oak Hill,7/31/2022,10.9
Zip,32763,FL,Volusia County,Orange City,7/31/2022,11.2
Zip,32764,FL,Brevard County,Mims,7/31/2022,11.1
Zip,32765,FL,Seminole County,Oviedo,7/31/2022,9.3
Zip,32766,FL,Seminole County,Oviedo,7/31/2022,9.4
Zip,32767,FL,Lake County,Paisley,7/31/2022,10.7
Zip,32771,FL,Seminole County,Sanford,7/31/2022,9.2
Zip,32773,FL,Seminole County,Sanford,7/31/2022,8.9
Zip,32776,FL,Lake County,Sorrento,7/31/2022,11.7
Zip,32778,FL,Lake County,Tavares,7/31/2022,11.3
Zip,32779,FL,Seminole County,Longwood,7/31/2022,9.4
Zip,32780,FL,Brevard County,Titusville,7/31/2022,9.9
Zip,32784,FL,Lake County,Umatilla,7/31/2022,10.1
Zip,32789,FL,Orange County,Winter Park,7/31/2022,9.9
Zip,32792,FL,Orange County,Winter Park,7/31/2022,9.7
Zip,32796,FL,Brevard County,Titusville,7/31/2022,10.4
Zip,32798,FL,Orange County,Zellwood,7/31/2022,11.8
Zip,32801,FL,Orange County,Orlando,7/31/2022,8.8
Zip,32803,FL,Orange County,Orlando,7/31/2022,9.9
Zip,32804,FL,Orange County,Orlando,7/31/2022,9.6
Zip,32805,FL,Orange County,Orlando,7/31/2022,10.4
Zip,32806,FL,Orange County,Orlando,7/31/2022,9.4
Zip,32807,FL,Orange County,Orlando,7/31/2022,10.3
Zip,32808,FL,Orange County,Pine Hills,7/31/2022,10.9
Zip,32809,FL,Orange County,Pine Castle,7/31/2022,10.2
Zip,32810,FL,Orange County,Orlando,7/31/2022,10.4
Zip,32811,FL,Orange County,Orlando,7/31/2022,10.4
Zip,32812,FL,Orange County,Orlando,7/31/2022,10.1
Zip,32814,FL,Orange County,Orlando,7/31/2022,9.9
Zip,32817,FL,Orange County,Orlando,7/31/2022,11
Zip,32818,FL,Orange County,Pine Hills,7/31/2022,10.8
Zip,32819,FL,Orange County,Doctor Phillips,7/31/2022,10.7
Zip,32820,FL,Orange County,Bithlo,7/31/2022,11
Zip,32821,FL,Orange County,Williamsburg,7/31/2022,10.1
Zip,32822,FL,Orange County,Orlando,7/31/2022,10.8
Zip,32824,FL,Orange County,Orlando,7/31/2022,11
Zip,32825,FL,Orange County,Orlando,7/31/2022,11.1
Zip,32826,FL,Orange County,Orlando,7/31/2022,10.8
Zip,32827,FL,Orange County,Orlando,7/31/2022,10.8
Zip,32828,FL,Orange County,Orlando,7/31/2022,11.2
Zip,32829,FL,Orange County,Orlando,7/31/2022,11.4
Zip,32832,FL,Orange County,Orlando,7/31/2022,11
Zip,32833,FL,Orange County,Wedgefield,7/31/2022,10.5
Zip,32835,FL,Orange County,Orlando,7/31/2022,10.5
Zip,32836,FL,Orange County,Doctor Phillips,7/31/2022,10.6
Zip,32837,FL,Orange County,Orlando,7/31/2022,11.2
Zip,32839,FL,Orange County,Orlando,7/31/2022,9.9
Zip,32901,FL,Brevard County,Melbourne,7/31/2022,10.6
Zip,32903,FL,Brevard County,Melbourne,7/31/2022,10.9
Zip,32904,FL,Brevard County,West Melbourne,7/31/2022,10.3
Zip,32905,FL,Brevard County,Palm Bay,7/31/2022,10.4
Zip,32907,FL,Brevard County,Palm Bay,7/31/2022,10.6
Zip,32908,FL,Brevard County,Palm Bay,7/31/2022,10.6
Zip,32909,FL,Brevard County,Palm Bay,7/31/2022,10.7
Zip,32920,FL,Brevard County,Cape Canaveral,7/31/2022,10.4
Zip,32922,FL,Brevard County,Cocoa,7/31/2022,10.4
Zip,32926,FL,Brevard County,Cocoa,7/31/2022,10
Zip,32927,FL,Brevard County,Cocoa,7/31/2022,9.7
Zip,32931,FL,Brevard County,Cocoa Beach,7/31/2022,10.5
Zip,32934,FL,Brevard County,Melbourne,7/31/2022,10.6
Zip,32935,FL,Brevard County,Melbourne,7/31/2022,10.7
Zip,32937,FL,Brevard County,Satellite Beach,7/31/2022,10.7
Zip,32940,FL,Brevard County,Melbourne,7/31/2022,10.2
Zip,32948,FL,Indian River County,Fellsmere,7/31/2022,11
Zip,32949,FL,Brevard County,Grant-Valkaria,7/31/2022,11.3
Zip,32950,FL,Brevard County,Malabar,7/31/2022,10.6
Zip,32951,FL,Brevard County,Melbourne Beach,7/31/2022,10.6
Zip,32952,FL,Brevard County,Merritt Island,7/31/2022,10.4
Zip,32953,FL,Brevard County,Merritt Island,7/31/2022,10.1
Zip,32955,FL,Brevard County,Rockledge,7/31/2022,10.3
Zip,32958,FL,Indian River County,Sebastian,7/31/2022,10.7
Zip,32960,FL,Indian River County,Vero Beach,7/31/2022,10.4
Zip,32962,FL,Indian River County,Vero Beach,7/31/2022,10.2
Zip,32963,FL,Indian River County,Vero Beach,7/31/2022,10.5
Zip,32966,FL,Indian River County,Vero Beach,7/31/2022,10.2
Zip,32967,FL,Indian River County,Vero Beach,7/31/2022,10.3
Zip,32968,FL,Indian River County,Vero Beach,7/31/2022,10.9
Zip,32976,FL,Brevard County,Micco,7/31/2022,10.3
Zip,33001,FL,Monroe County,Layton,7/31/2022,9.6
Zip,33004,FL,Broward County,Dania Beach,7/31/2022,8.9
Zip,33009,FL,Broward County,Hallandale,7/31/2022,8.7
Zip,33010,FL,Miami-Dade County,Hialeah,7/31/2022,8.5
Zip,33012,FL,Miami-Dade County,Hialeah,7/31/2022,7.3
Zip,33013,FL,Miami-Dade County,Hialeah,7/31/2022,7.3
Zip,33014,FL,Miami-Dade County,Hialeah,7/31/2022,6.9
Zip,33015,FL,Miami-Dade County,Country Club,7/31/2022,7.3
Zip,33016,FL,Miami-Dade County,Hialeah,7/31/2022,7
Zip,33018,FL,Miami-Dade County,Hialeah,7/31/2022,7.3
Zip,33019,FL,Broward County,Hollywood,7/31/2022,9.3
Zip,33020,FL,Broward County,Hollywood,7/31/2022,9.6
Zip,33021,FL,Broward County,Hollywood,7/31/2022,10.1
Zip,33023,FL,Broward County,Miramar,7/31/2022,9.9
Zip,33024,FL,Broward County,Pembroke Pines,7/31/2022,10
Zip,33025,FL,Broward County,Miramar,7/31/2022,9.5
Zip,33026,FL,Broward County,Pembroke Pines,7/31/2022,9.5
Zip,33027,FL,Broward County,Miramar,7/31/2022,9.7
Zip,33028,FL,Broward County,Pembroke Pines,7/31/2022,10.2
Zip,33029,FL,Broward County,Pembroke Pines,7/31/2022,10.2
Zip,33030,FL,Miami-Dade County,Homestead,7/31/2022,8.5
Zip,33031,FL,Miami-Dade County,Homestead,7/31/2022,9.7
Zip,33032,FL,Miami-Dade County,Princeton,7/31/2022,8.1
Zip,33033,FL,Miami-Dade County,Homestead,7/31/2022,8.8
Zip,33034,FL,Miami-Dade County,Florida City,7/31/2022,10.1
Zip,33035,FL,Miami-Dade County,Homestead,7/31/2022,8.3
Zip,33036,FL,Monroe County,Islamorada,7/31/2022,10.4
Zip,33037,FL,Monroe County,Key Largo,7/31/2022,11.2
Zip,33040,FL,Monroe County,Key West,7/31/2022,9.3
Zip,33042,FL,Monroe County,Summerland Key,7/31/2022,10
Zip,33043,FL,Monroe County,Big Pine Key,7/31/2022,10.4
Zip,33050,FL,Monroe County,Marathon,7/31/2022,10
Zip,33051,FL,Monroe County,Key Colony Beach,7/31/2022,10.3
