county,Year,Average Yearly Wage,Employment,Labor Force,Population,Single Family Home
Baker,12/31/2024,38665.05553,11378.71546,11735.13185,29776.03064,180340.6068
Baker,12/31/2025,39278.87729,11421.7983,11723.49136,30037.31554,184363.351
Baker,12/31/2026,39911.38871,11499.85952,11722.8764,30425.11227,188553.7619
Baker,12/31/2027,40562.9272,11559.4213,11733.32803,30938.19066,189765.4155
Baker,12/31/2028,41701.16513,11567.53862,11785.65708,31138.91625,193619.591
Baker,12/31/2029,42314.98688,11610.62146,11774.01658,31400.20116,197642.3352
Baker,12/31/2030,42947.4983,74408.5178,11773.40163,31787.99788,164026.1023
Bay,12/31/2001,27478.07587,74989.96624,72439.43547,151481.1015,166082.5378
Bay,12/31/2002,28297.06681,75424.79506,74845.35931,153674.7876,168278.2496
Bay,12/31/2003,29598.44811,75757.14576,76532.53792,154246.2388,170718.2625
Bay,12/31/2004,30369.32788,76485.14566,79295.59133,158681.6123,172635.4573
Bay,12/31/2005,30705.82531,77065.75284,82420.74177,162497.6679,174691.8929
Bay,12/31/2006,31524.16741,77499.69735,84826.24693,164691.3538,176887.6047
Bay,12/31/2007,32824.61539,77827.87903,86512.95364,165262.7445,179327.6176
Bay,12/31/2008,33594.4354,78548.46429,86830.24105,167698.8486,181244.8123
Bay,12/31/2009,33929.32279,79122.38073,87513.24808,169518.6165,183301.2479
Bay,12/31/2010,34746.70369,79549.5808,87476.52656,169711.9448,185496.9597
Bay,12/31/2011,36046.47495,79874.16926,86721.05981,168281.9872,187936.9727
Bay,12/31/2012,36815.74027,80594.42815,87034.77569,170710.4686,189854.1674
Bay,12/31/2013,37150.64241,81168.13555,87717.28078,172525.1153,191910.603
Bay,12/31/2014,37969.57921,81595.22331,87680.55926,172717.3925,194106.3149
Bay,12/31/2015,39272.59709,81919.81146,86925.09252,171287.4015,196546.3278
Bay,12/31/2016,40047.58314,82640.07002,87238.53831,173706.194,198463.5225
Bay,12/31/2017,40389.56484,83213.77711,87209.15765,175496.592,200519.9581
Bay,12/31/2018,41214.04006,83640.86459,86460.55039,175664.6203,202715.6699
Bay,12/31/2019,42520.90563,83965.45273,84993.19791,174210.4138,205155.6828
Bay,12/31/2020,43297.2847,84685.7113,84593.07768,176614.5799,207072.8776
Bay,12/31/2021,43639.26641,85259.41839,84563.69703,178404.9778,209129.3132
Bay,12/31/2022,44463.74162,85686.50586,83815.08977,178573.0062,211325.025
Bay,12/31/2023,45770.6072,86011.09401,82347.73729,177118.7997,213765.0379
Bay,12/31/2024,46546.98627,86731.35258,81947.61706,179522.9657,215682.2327
Bay,12/31/2025,46888.96797,87305.05966,81918.2364,181313.3637,217738.6683
Bay,12/31/2026,47713.44319,87732.14714,81169.62915,181481.3921,219934.3801
Bay,12/31/2027,49020.30876,88056.73528,79702.27667,180027.1855,222374.393
Bay,12/31/2028,49796.68784,88776.99385,79302.15644,182431.3516,224291.5878
Bay,12/31/2029,50138.66954,89350.70094,79272.77578,184221.7496,226348.0234
Bay,12/31/2030,50963.14475,11155.77764,78524.16852,184389.7779,84644.86954
Bradford,12/31/2001,26731.25522,11108.45965,11735.61023,26004.26286,87447.24667
Bradford,12/31/2002,27154.08229,11099.00334,11676.69617,26603.86434,90427.20518
Bradford,12/31/2003,27629.62411,11074.93382,11653.19461,27272.20513,90906.9995
Bradford,12/31/2004,28356.93785,10989.76707,11675.88097,27508.11931,93531.05126
Bradford,12/31/2005,28726.97667,10942.36718,11581.5862,28038.98941,96333.42839
Bradford,12/31/2006,29149.39952,10932.8075,11522.63756,28562.07939,99313.3869
Bradford,12/31/2007,29623.41295,10908.52696,11498.90561,29033.2697,99793.18121
Bradford,12/31/2008,30348.96785,10823.14916,11520.79346,29069.8951,102417.233
Bradford,12/31/2009,30717.25273,10775.42085,11424.7045,28925.16445,105219.6101
Bradford,12/31/2010,31138.32599,10765.48938,11363.45791,28596.88122,108199.5686
Bradford,12/31/2011,31612.11403,10740.94341,11337.54024,28337.33731,108679.3629
Bradford,12/31/2012,32338.00549,10655.30151,11357.6749,27642.82464,111303.4147
Bradford,12/31/2013,33058.90529,10607.50835,11260.83435,27246.18769,114105.7918
Bradford,12/31/2014,33833.0732,10597.57689,11199.37453,27269.76994,117085.7503
Bradford,12/31/2015,34659.95578,10573.03091,11173.32718,27362.49935,117565.5447
Bradford,12/31/2016,35739.57276,10487.38901,11193.4608,27400.08389,120189.5964
Bradford,12/31/2017,36460.95215,10439.59586,11096.62025,27733.73469,122991.9736
Bradford,12/31/2018,37235.11979,10429.66439,11035.16042,28135.79662,125971.9321
Bradford,12/31/2019,38062.0022,10405.11841,11009.11308,28606.59787,126451.7264
Bradford,12/31/2020,39141.61908,10319.47651,11029.24669,28644.43129,129075.7782
Bradford,12/31/2021,39862.99848,10271.68336,10932.40614,28978.08209,131878.1553
Bradford,12/31/2022,40637.16612,10261.7519,10870.94631,29380.14402,134858.1138
Bradford,12/31/2023,41464.04853,10237.20592,10844.89897,29850.94527,135337.9081
Bradford,12/31/2024,42543.6654,10151.56402,10865.03258,29888.7787,137961.9599
Bradford,12/31/2025,43265.0448,10103.77087,10768.19203,30222.4295,140764.337
Bradford,12/31/2026,44039.21244,10093.8394,10706.7322,30624.49143,143744.2955
Bradford,12/31/2027,44866.09485,10069.29342,10680.68486,31095.29268,144224.0899
Bradford,12/31/2028,45945.71173,9983.651523,10700.81847,31133.1261,146848.1416
Bradford,12/31/2029,46667.09112,9935.858371,10603.97792,31466.7769,149650.5188
Bradford,12/31/2030,47441.25876,230287.8482,10542.51809,31868.83883,151721.7003
Brevard,12/31/2001,33968.3193,232203.8302,241616.7168,485178,155022.4972
Brevard,12/31/2002,34702.0982,234698.6558,244354.4628,494102,158344.7403
Brevard,12/31/2003,35979.47805,234970.6233,247820.5355,507810,158253.7805
Brevard,12/31/2004,37584.62603,236307.1944,251226.0125,521422,161532.0399
Brevard,12/31/2005,37775.00733,238223.1764,253235,531970,164832.8368
Brevard,12/31/2006,38508.33273,240718.002,255967.7657,543050,168155.0798
Brevard,12/31/2007,39785.1709,240989.9695,257914.0121,552109,168064.12
Brevard,12/31/2008,41389.32239,242326.5407,259786.533,556213,171342.3794
Brevard,12/31/2009,41578.47675,244242.5226,260263.7246,555657,174643.1763
Brevard,12/31/2010,42310.1371,246737.5905,261468.8041,543376,177965.4193
Brevard,12/31/2011,43585.39771,247009.9837,263402.2105,545184,177874.4596
Brevard,12/31/2012,45188.42065,248349.4672,265270.8219,545625,181152.719
Brevard,12/31/2013,45376.6832,250269.7917,265747.7192,548424,184453.5159
Brevard,12/31/2014,46108.35512,252771.0244,266958.1407,552427,187775.7589
Brevard,12/31/2015,47384.03544,253057.5061,268899.8116,561714,187684.7991
Brevard,12/31/2016,48990.03898,254408.5717,270781.3626,568919,190963.0585
Brevard,12/31/2017,49183.57148,256339.048,271276.0195,575211,194263.8555
Brevard,12/31/2018,49920.5011,258848.3681,272498.8585,583563,197586.0985
Brevard,12/31/2019,51201.03167,259134.8697,274450.0244,594469,197495.1387
Brevard,12/31/2020,52809.339,260485.9353,276336.444,606671,200773.3981
Brevard,12/31/2021,53002.8715,262416.4117,276831.1009,612963,204074.195
Brevard,12/31/2022,53739.80112,264925.7318,278053.9399,621315,207396.438
Brevard,12/31/2023,55020.33168,265212.2334,280005.1058,632221,207305.4782
Brevard,12/31/2024,56628.63901,266563.299,281891.5254,644423,210583.7376
Brevard,12/31/2025,56822.17151,268493.7753,282386.1823,650715,213884.5346
Brevard,12/31/2026,57559.10114,271003.0954,283609.0213,659067,217206.7776
Brevard,12/31/2027,58839.6317,271289.597,285560.1871,669973,217115.8178
Brevard,12/31/2028,60447.93903,272640.6626,287446.6068,682175,220394.0772
Brevard,12/31/2029,60641.47153,274571.139,287941.2636,688467,223694.8741
Brevard,12/31/2030,61378.40116,860401.2971,289164.1027,696819,208748.8711
Broward,12/31/2001,33528.14679,868974.6484,907238.9827,1649925,217278.0419
Broward,12/31/2002,34844.7716,878022.6545,914455.0671,1669153,226199.8655
Broward,12/31/2003,36360.52098,875181.855,923518.1145,1698425,220555.8248
Broward,12/31/2004,38275.4943,883277.6924,932561.2415,1723131,228687.9152
Broward,12/31/2005,39393.1212,891851.0437,937932.1757,1740987,237217.086
Broward,12/31/2006,40709.74601,900899.0497,945144.6529,1753162,246138.9096
Broward,12/31/2007,41495.85719,898058.2502,954159.9609,1765707,240494.869
Broward,12/31/2008,42676.53287,906154.0878,961375.9414,1758494,248626.9594
Broward,12/31/2009,43060.81927,914727.4392,964896.6888,1744922,257156.1302
Broward,12/31/2010,43644.10357,923777.0796,970262.5861,1748066,266077.9537
Broward,12/31/2011,44426.51244,920937.9192,977475.4465,1753162,260433.9131
Broward,12/31/2012,45606.13609,929036.7756,984663.3176,1771099,268566.0035
Broward,12/31/2013,45992.06352,937613.1457,988184.1214,1784715,277095.1743
Broward,12/31/2014,46986.8888,946664.1708,993557.1997,1803903,286016.9979
Broward,12/31/2015,48182.22784,943826.3985,1000777.241,1827367,280372.9573
Broward,12/31/2016,49775.96008,951925.255,1007972.313,1854513,288505.0477
Broward,12/31/2017,51455.06977,960501.6252,1011500.241,1873970,297034.2185
Broward,12/31/2018,53333.17736,969552.6504,1016873.32,1897976,305956.042
Broward,12/31/2019,55410.40952,966714.8782,1024093.361,1919644,300312.0014
Broward,12/31/2020,57888.40393,974813.7347,1031288.433,1932212,308444.0918
Broward,12/31/2021,59567.51362,983390.105,1034816.362,1951669,316973.2626
Broward,12/31/2022,61445.62121,992441.1302,1040189.44,1975675,325895.0862
Broward,12/31/2023,63522.85337,989603.358,1047409.482,1997343,320251.0456
Broward,12/31/2024,66000.84778,997702.2145,1054604.553,2009911,328383.136
Broward,12/31/2025,67679.95747,1006278.585,1058132.482,2029368,336912.3068
Broward,12/31/2026,69558.06506,1015329.61,1063505.56,2053374,345834.1303
Broward,12/31/2027,71635.29722,1012491.838,1070725.602,2075042,340190.0897
Broward,12/31/2028,74113.29163,1020590.694,1077920.674,2087610,348322.1801
Broward,12/31/2029,75792.40132,1029167.065,1081448.602,2107067,356851.3509
Broward,12/31/2030,77670.50891,5221.833177,1086821.681,2131073,62540.36663
Calhoun,12/31/2001,22278.41279,5177.191909,5382.821571,13126.89948,65228.75433
Calhoun,12/31/2002,23015.81885,5147.534953,5373.549921,13333.8654,67919.66395
Calhoun,12/31/2003,23702.9217,5137.727911,5373.185742,13366.13837,68699.08123
Calhoun,12/31/2004,23947.3131,5078.114558,5419.204664,13610.74043,71384.35676
Calhoun,12/31/2005,24734.85766,5033.47329,5401.048322,13992.4231,74072.74447
Calhoun,12/31/2006,25471.96227,5003.705076,5391.776672,14199.38902,76763.65408
Calhoun,12/31/2007,26158.52445,4993.751018,5391.409042,14231.44336,77543.07137
Calhoun,12/31/2008,26401.05277,4933.97536,5437.25393,14341.80192,80228.35941
Calhoun,12/31/2009,27185.46545,4889.171786,5360.897915,14589.32202,82916.75965
Calhoun,12/31/2010,27919.69848,4859.351953,5293.290857,14661.48643,85607.68178
Calhoun,12/31/2011,28603.62829,4849.381587,5234.491612,14558.5104,86387.11162
Calhoun,12/31/2012,28844.83797,4789.605357,5221.909803,14583.44401,89072.39969
Calhoun,12/31/2013,29629.20949,4744.801212,5145.312841,14745.98809,91760.79994
Calhoun,12/31/2014,30363.44252,4714.981379,5077.60057,14733.80582,94451.72209
Calhoun,12/31/2015,31047.52233,4705.011014,5018.79577,14546.88297,95231.15193
Calhoun,12/31/2016,31289.01031,4645.234784,5006.21396,14571.56155,97916.44
Calhoun,12/31/2017,32074.28827,4600.430639,4929.616996,14733.8347,100604.8403
Calhoun,12/31/2018,32809.42774,4570.610806,4861.904723,14721.39109,103295.7624
Calhoun,12/31/2019,33494.264,4560.640441,4803.099923,14534.25453,104075.1922
Calhoun,12/31/2020,33736.3826,4500.864212,4790.518112,14558.84594,106760.4803
Calhoun,12/31/2021,34521.66057,4456.060067,4713.921148,14721.11908,109448.8806
Calhoun,12/31/2022,35256.80004,4426.240234,4646.208876,14708.67548,112139.8027
Calhoun,12/31/2023,35941.6363,4416.269869,4587.404076,14521.53892,112919.2326
Calhoun,12/31/2024,36183.7549,4356.493639,4574.822265,14546.13032,115604.5206
Calhoun,12/31/2025,36969.03286,4311.689494,4498.225301,14708.40347,118292.9209
Calhoun,12/31/2026,37704.17234,4281.869661,4430.513029,14695.95986,142486.9386
Calhoun,12/31/2027,38389.00859,4271.899296,4371.708228,14508.8233,146966.6707
Calhoun,12/31/2028,38631.1272,4212.123067,4359.126418,14533.41471,151409.3107
Calhoun,12/31/2029,39416.40516,4167.318922,4282.529454,14695.68785,151923.7091
Calhoun,12/31/2030,40151.54463,57077.47279,4214.817181,14683.24425,156439.258
Charlotte,12/31/2001,26578.28145,57880.23265,60398.70777,145400.4316,160918.9901
Charlotte,12/31/2002,26999.60866,58682.06612,61265.77375,147748.3528,165361.6301
Charlotte,12/31/2003,27567.43471,58333.36883,62179.63702,151627.3523,165876.0285
Charlotte,12/31/2004,29235.20949,59136.67478,62705.95307,156344.7633,170391.5774
Charlotte,12/31/2005,29510.39841,59939.43311,63526.06126,157160.5995,174871.3095
Charlotte,12/31/2006,29931.69309,60741.26384,64392.77872,159508.5207,179313.9495
Charlotte,12/31/2007,30499.4855,60392.5638,65304.48632,163386.6884,179828.3479
Charlotte,12/31/2008,32167.22641,61195.867,65826.86925,164886.2794,184343.8967
Charlotte,12/31/2009,32442.38157,61998.62411,66318.96124,162487.2553,188823.6354
Charlotte,12/31/2010,32863.67504,62800.45484,66856.82911,161617.7763,193266.2819
Charlotte,12/31/2011,33431.46733,62451.75479,67441.49428,162279.3755,193780.6869
Charlotte,12/31/2012,35099.20826,63255.058,67637.7103,163777.0529,198296.2423
Charlotte,12/31/2013,35374.37033,64057.81511,68128.62045,163386.9655,202775.9809
Charlotte,12/31/2014,35795.90601,64859.64585,68666.4883,164531.4811,207218.6274
Charlotte,12/31/2015,36364.49488,64510.9458,69251.15346,167210.5063,207733.0324
Charlotte,12/31/2016,38033.22971,65314.24901,69447.36949,171400.5896,212248.5878
Charlotte,12/31/2017,38309.3809,66117.00612,69938.27964,173317.4269,216728.3264
Charlotte,12/31/2018,38731.67038,66918.83685,70476.1475,176766.3493,221170.973
Charlotte,12/31/2019,39300.45869,66570.13681,71060.81266,181746.3499,221685.3779
Charlotte,12/31/2020,40969.19836,67373.44002,71257.02868,187567.7785,226200.9333
Charlotte,12/31/2021,41245.34955,68176.19713,71747.93883,189484.6158,230680.672
Charlotte,12/31/2022,41667.63903,68978.02786,72285.80669,192933.5382,235123.3185
Charlotte,12/31/2023,42236.42734,68629.32781,72870.47185,197913.5388,235637.7235
Charlotte,12/31/2024,43905.16701,69432.63102,73066.68788,203734.9675,240153.2789
Charlotte,12/31/2025,44181.3182,70235.38813,73557.59803,205651.8048,244633.0175
Charlotte,12/31/2026,44603.60768,71037.21886,74095.46589,209100.7272,124809.3023
Charlotte,12/31/2027,45172.39599,70688.51882,74680.13105,214080.7278,126955.7892
Charlotte,12/31/2028,46841.13566,71491.82203,74876.34707,219902.1564,129303.817
Charlotte,12/31/2029,47117.28685,72294.57914,75367.25722,221818.9937,127642.7066
Charlotte,12/31/2030,47539.57634,47415.29663,75905.12508,225267.9161,129586.4385
Citrus,12/31/2001,26121.74233,47312.13264,50996.19298,120477.9064,131732.9253
Citrus,12/31/2002,26967.8629,47354.51009,50811.6538,122987.2955,134080.9531
Citrus,12/31/2003,27839.62674,47079.49799,50747.09989,125817.7955,132419.8427
Citrus,12/31/2004,28794.9291,46830.74048,50873.31553,129122.5522,134363.5746
Citrus,12/31/2005,29615.14246,46727.57426,50568.88631,132623.7028,136510.0615
Citrus,12/31/2006,30460.54532,46769.62434,50384.33603,136747.7477,138858.0893
Citrus,12/31/2007,31330.53884,46492.76343,50318.26848,140124.0009,137196.9789
Citrus,12/31/2008,32283.08817,46241.82225,50441.63761,142043.0184,139140.7108
Citrus,12/31/2009,33099.81568,46136.45552,50131.74893,142595.167,141287.1977
Citrus,12/31/2010,33941.24372,46176.63017,49938.95329,141249.811,143635.2255
Citrus,12/31/2011,34411.97165,45899.40923,49864.37097,140955.9832,141974.1151
Citrus,12/31/2012,34964.50176,45648.44891,49980.22125,140774.8425,143917.847
Citrus,12/31/2013,35383.39315,45543.0821,49664.52087,140505.1824,146064.3339
Citrus,12/31/2014,35827.81606,45583.25674,49468.60512,140784.1826,148412.3617
Citrus,12/31/2015,36297.88225,45306.03578,49392.67459,141514.8199,146751.2513
Citrus,12/31/2016,36850.45033,45055.07545,49507.48242,142979.3787,148694.9832
Citrus,12/31/2017,37269.4146,44949.70865,49191.67656,143977.5464,150841.4701
Citrus,12/31/2018,37713.91038,44989.88328,48995.76074,145598.6085,153189.4979
Citrus,12/31/2019,38184.04944,44712.66233,48919.83019,147764.4881,151528.3875
Citrus,12/31/2020,38736.62667,44461.70201,49034.63802,149382.97,153472.1194
Citrus,12/31/2021,39155.59093,44356.3352,48718.83216,150381.1377,155618.6063
Citrus,12/31/2022,39600.08672,44396.50984,48522.91633,152002.1998,157966.634
Citrus,12/31/2023,40070.22577,44119.28888,48446.98578,154168.0794,156305.5236
Citrus,12/31/2024,40622.803,43868.32856,48561.79361,155786.5613,158249.2556
Citrus,12/31/2025,41041.76726,43762.96176,48245.98776,156784.729,160395.7424
Citrus,12/31/2026,41486.26305,43803.13639,48050.07193,158405.7911,153101.5847
Citrus,12/31/2027,41956.4021,43525.91544,47974.14138,160571.6707,156695.9471
Citrus,12/31/2028,42508.97933,43274.95511,48088.94921,162190.1526,160789.1996
Citrus,12/31/2029,42927.94359,43169.58831,47773.14335,163188.3203,161335.797
Citrus,12/31/2030,43372.43938,74829.19065,47577.22753,164809.3824,164430.2414
Clay,12/31/2001,24298.59826,76541.20464,74264.04479,142778.5385,168024.6038
Clay,12/31/2002,25121.46164,78230.54194,77489.17084,149651.0468,172117.8563
Clay,12/31/2003,26384.46413,78992.03517,79967.20712,156809.7302,172664.4537
Clay,12/31/2004,27437.55445,80726.41627,82943.62328,163205.9346,175758.8981
Clay,12/31/2005,27820.19055,82438.25616,86915.9893,169777.2056,179353.2604
Clay,12/31/2006,28640.88577,84125.35763,90141.11534,176649.7139,183446.5129
Clay,12/31/2007,29899.80868,84879.40859,92617.94275,183802.8455,183993.1103
Clay,12/31/2008,30947.39958,86604.39214,93218.09097,185318.0752,187087.5547
Clay,12/31/2009,31324.64826,88307.00756,94813.57157,187021.7074,190681.917
Clay,12/31/2010,32142.02723,89986.94635,95661.81219,189026.577,194775.1695
Clay,12/31/2011,33399.54533,90739.01539,95762.96303,191034.1341,195321.767
Clay,12/31/2012,34447.13623,92463.998,96356.02594,192265.0996,198416.2113
Clay,12/31/2013,34824.92865,94166.61338,97952.36505,193685.2442,202010.5737
Clay,12/31/2014,35643.29341,95846.55218,98913.27198,197438.3505,206103.8262
Clay,12/31/2015,36901.88903,96598.62129,99730.86792,201477.6401,206650.4236
Clay,12/31/2016,37950.75768,98323.60404,101044.2542,204745.9045,209744.868
Clay,12/31/2017,38329.48072,100026.2196,103358.1341,208197.4747,213339.2304
Clay,12/31/2018,39148.33406,101706.1584,104924.7741,211950.2822,217432.4829
Clay,12/31/2019,40407.32652,102458.2275,105744.3243,215989.2649,217979.0803
Clay,12/31/2020,41456.39582,104183.2103,107057.7105,219257.2214,221073.5247
Clay,12/31/2021,41835.11886,105885.8258,109371.5905,222708.7916,224667.887
Clay,12/31/2022,42653.97221,107565.7647,110938.2304,226461.5991,228761.1395
Clay,12/31/2023,43912.96467,108317.8338,111757.7806,230500.5818,229307.7369
Clay,12/31/2024,44962.03397,110042.8166,113071.1669,233768.5383,232402.1813
Clay,12/31/2025,45340.75701,111745.4321,115385.0468,237220.1085,235996.5437
Clay,12/31/2026,46159.61035,113425.3709,116951.6868,240972.916,294152.9214
Clay,12/31/2027,47418.60281,114177.4401,117771.237,245011.8987,302934.2631
Clay,12/31/2028,48467.67211,115902.4228,119084.6232,248279.8552,311847.229
Clay,12/31/2029,48846.39515,117605.0383,121398.5032,251731.4254,306003.1384
Clay,12/31/2030,49665.2485,120385.7226,122965.1431,255484.2329,314648.2537
Collier,12/31/2001,31984.41826,123722.2484,128412.066,284519.1678,323429.5955
Collier,12/31/2002,32899.88007,127299.0558,131439.871,288526.7658,332342.5614
Collier,12/31/2003,34162.7747,127131.4218,134949.7481,295747.9723,326498.4707
Collier,12/31/2004,35374.01579,130226.4958,136084.3416,302740.7689,335143.5861
Collier,12/31/2005,35942.08524,133563.0218,138629.193,303534.5881,343924.9278
Collier,12/31/2006,36857.53875,137139.8291,141656.9977,307535.1512,352837.8937
Collier,12/31/2007,38120.15836,136972.1952,145166.8626,314730.3188,346993.803
Collier,12/31/2008,39331.1122,140067.2692,146301.4438,321679.8609,355638.9184
Collier,12/31/2009,39898.89518,143406.7339,148846.2831,322431.2406,364420.2601
Collier,12/31/2010,40814.07051,146989.0666,151874.1439,326387.4988,373333.2261
Collier,12/31/2011,42076.67866,146829.3957,155386.9789,333557.3655,367489.1354
Collier,12/31/2012,43287.63249,149935.4615,156532.9661,340498.6869,376134.2508
Collier,12/31/2013,43855.41548,153284.8121,159097.8916,341242.0971,384915.5925
Collier,12/31/2014,44770.87809,156874.5151,162317.2331,345198.3553,393828.5584
Collier,12/31/2015,46033.99137,156719.8122,166019.5535,352368.222,387984.4677
Collier,12/31/2016,47246.08957,159827.7933,167347.3182,359309.5602,396629.5831
Collier,12/31/2017,47815.23514,163177.2262,170084.8133,360052.987,405410.9248
Collier,12/31/2018,48731.77305,166766.9405,173305.2618,364009.2619,414323.8907
Collier,12/31/2019,49995.74379,166612.2489,177007.7825,371179.1452,408479.8001
Collier,12/31/2020,51208.06394,169720.2299,178335.5473,378120.4834,417124.9154
Collier,12/31/2021,51777.20952,173069.6628,181073.0424,378863.9102,425906.2571
Collier,12/31/2022,52693.74743,176659.3772,184293.4909,382820.1851,434819.2231
Collier,12/31/2023,53957.71817,176504.6856,187996.0116,389990.0684,428975.1324
Collier,12/31/2024,55170.03832,179612.6666,189323.7764,396931.4066,437620.2478
Collier,12/31/2025,55739.18389,182962.0995,192061.2716,397674.8335,446401.5895
Collier,12/31/2026,56655.7218,186551.8138,195281.72,401631.1083,74305.40611
Collier,12/31/2027,57919.69255,186397.1223,198984.2407,408800.9917,78800.11176
Collier,12/31/2028,59132.0127,189505.1033,200312.0055,415742.3299,83642.50283
Collier,12/31/2029,59701.15827,192854.5362,203049.5007,416485.7567,83991.40114
Collier,12/31/2030,60617.69618,26060.34925,206269.9491,420442.0316,88137.10652
Columbia,12/31/2001,26301.57145,26126.56167,27668.96095,57156.57168,92631.81216
Columbia,12/31/2002,27224.93413,26333.02336,27695.00719,58080.14807,97474.20323
Columbia,12/31/2003,27777.70253,26558.65187,27850.70965,59138.97778,97823.10154
Columbia,12/31/2004,28835.98803,26484.67747,28251.56483,60357.39294,101968.8069
Columbia,12/31/2005,30129.91769,26550.88989,28148.09096,61678.78549,106463.5126
Columbia,12/31/2006,31053.28032,26757.3281,28173.84203,63429.78916,111305.9036
Columbia,12/31/2007,31605.56232,26982.91003,28328.28112,65316.57366,111654.8019
Columbia,12/31/2008,32133.52862,26908.83616,28726.87629,66024.99141,115800.5077
Columbia,12/31/2009,32897.18498,26974.94911,28619.83278,66601.75047,120295.2137
